sklearn/manifold/_t_sne.py  [19 edits, last: 2021-05-14]
sklearn/metrics/_scorer.py  [19 edits, last: 2021-05-14]
sklearn/svm/setup.py  [19 edits, last: 2020-06-30]
sklearn/datasets/_base.py  [18 edits, last: 2021-05-14]
sklearn/svm/_base.py  [18 edits, last: 2021-04-09]
sklearn/utils/_testing.py  [18 edits, last: 2021-04-21]
sklearn/cluster/_agglomerative.py  [17 edits, last: 2021-05-14]
sklearn/decomposition/_lda.py  [17 edits, last: 2021-05-14]
sklearn/decomposition/_sparse_pca.py  [17 edits, last: 2021-05-14]
sklearn/decomposition/_truncated_svd.py  [17 edits, last: 2021-05-14]
sklearn/linear_model/_ransac.py  [17 edits, last: 2021-05-14]
sklearn/metrics/_plot/precision_recall_curve.py  [17 edits, last: 2021-05-14]
sklearn/cluster/_optics.py  [16 edits, last: 2021-05-14]
sklearn/cluster/_spectral.py  [16 edits, last: 2021-05-14]
sklearn/manifold/__init__.py  [16 edits, last: 2019-10-30]
sklearn/manifold/_spectral_embedding.py  [16 edits, last: 2021-05-14]
sklearn/metrics/_regression.py  [16 edits, last: 2021-05-14]
sklearn/tree/__init__.py  [16 edits, last: 2019-10-16]
sklearn/utils/stats.py  [16 edits, last: 2020-05-27]
sklearn/_config.py  [15 edits, last: 2021-04-27]
sklearn/cluster/_affinity_propagation.py  [15 edits, last: 2021-05-14]
sklearn/decomposition/_fastica.py  [15 edits, last: 2021-05-14]
sklearn/decomposition/_incremental_pca.py  [15 edits, last: 2021-05-14]
sklearn/metrics/cluster/_supervised.py  [15 edits, last: 2021-05-14]
sklearn/neighbors/_lof.py  [15 edits, last: 2021-05-14]
sklearn/tree/setup.py  [15 edits, last: 2019-11-26]
sklearn/cluster/_dbscan.py  [14 edits, last: 2021-05-14]
sklearn/covariance/_graph_lasso.py  [14 edits, last: 2021-05-14]
sklearn/datasets/_openml.py  [14 edits, last: 2021-05-14]
sklearn/decomposition/_factor_analysis.py  [14 edits, last: 2021-05-14]
sklearn/ensemble/_hist_gradient_boosting/grower.py  [14 edits, last: 2020-11-16]
sklearn/feature_extraction/__init__.py  [14 edits, last: 2019-12-18]
sklearn/feature_selection/_univariate_selection.py  [14 edits, last: 2021-05-14]
sklearn/gaussian_process/_gpc.py  [14 edits, last: 2021-05-14]
sklearn/inspection/_permutation_importance.py  [14 edits, last: 2021-05-14]
sklearn/neighbors/_regression.py  [14 edits, last: 2021-05-14]
sklearn/cluster/_bicluster.py  [13 edits, last: 2021-05-14]
sklearn/cluster/_mean_shift.py  [13 edits, last: 2021-05-14]
sklearn/ensemble/_hist_gradient_boosting/binning.py  [13 edits, last: 2020-11-16]
sklearn/feature_selection/_from_model.py  [13 edits, last: 2021-05-14]
sklearn/manifold/_locally_linear.py  [13 edits, last: 2021-05-14]
sklearn/manifold/_mds.py  [13 edits, last: 2021-05-14]
sklearn/metrics/setup.py  [13 edits, last: 2019-10-23]
sklearn/neural_network/_rbm.py  [13 edits, last: 2021-05-14]
sklearn/semi_supervised/_label_propagation.py  [13 edits, last: 2021-05-14]
sklearn/linear_model/_omp.py  [12 edits, last: 2021-05-14]
sklearn/mixture/__init__.py  [12 edits, last: 2019-10-16]
sklearn/mixture/_bayesian_mixture.py  [12 edits, last: 2021-05-14]
sklearn/neighbors/_classification.py  [12 edits, last: 2021-05-14]
sklearn/neighbors/_unsupervised.py  [12 edits, last: 2021-05-14]
