comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,15,8,7,0.0,1.0,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,11,5,6,0.0,1.0,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,14,7,7,0.071,0.7892680261342813,deepseek-flash,1.0
all_tools_vs_baseline,135,9,3,6,0.444,0.5049850750938457,deepseek-flash,1.0
structural_vs_baseline,135,6,3,3,0.167,0.6830913983096086,gpt-oss-120b,1.0
temporal_frequency_vs_baseline,135,7,4,3,0.0,1.0,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,5,4,1,0.8,0.37109336952269756,gpt-oss-120b,1.0
all_tools_vs_baseline,135,8,4,4,0.125,0.7236736098317629,gpt-oss-120b,1.0
structural_vs_baseline,135,15,7,8,0.0,1.0,ministral-3b,1.0
temporal_frequency_vs_baseline,135,17,12,5,2.118,0.1456100953968629,ministral-3b,0.5824403815874516
temporal_cochange_vs_baseline,135,14,10,4,1.786,0.18144920772141646,ministral-3b,0.5824403815874516
all_tools_vs_baseline,135,11,7,4,0.364,0.5464935954065822,ministral-3b,1.0
structural_vs_baseline,135,10,7,3,0.9,0.34278171114790873,nemotron-super,1.0
temporal_frequency_vs_baseline,135,10,7,3,0.9,0.34278171114790873,nemotron-super,1.0
temporal_cochange_vs_baseline,135,7,6,1,2.286,0.13057001811573693,nemotron-super,0.5222800724629477
all_tools_vs_baseline,135,10,7,3,0.9,0.34278171114790873,nemotron-super,1.0
