model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,structural_vs_baseline,51,0.0,33.5,0.07341433955635468,0.5073529411764706,0.2936573582254187
deepseek-flash,temporal_frequency_vs_baseline,51,0.0,39.0,0.2305195444617123,0.35,0.6225164376739207
deepseek-flash,temporal_cochange_vs_baseline,51,0.0,71.5,0.20750547922464024,0.319047619047619,0.6225164376739207
deepseek-flash,all_tools_vs_baseline,51,0.0,60.5,0.27282234101187397,0.29239766081871343,0.6225164376739207
gpt-oss-120b,structural_vs_baseline,51,0.0,52.0,0.24421208029888652,0.3202614379084967,0.7326362408966596
gpt-oss-120b,temporal_frequency_vs_baseline,51,0.0,31.5,0.3268410954384985,0.3076923076923077,0.7326362408966596
gpt-oss-120b,temporal_cochange_vs_baseline,51,0.0,32.0,0.019286270571508248,0.6257309941520468,0.07714508228603299
gpt-oss-120b,all_tools_vs_baseline,51,0.0,58.0,0.3798251938371662,0.24183006535947713,0.7326362408966596
ministral-3b,structural_vs_baseline,51,0.0,32.5,0.00125127836764596,0.7644927536231884,0.00375383510293788
ministral-3b,temporal_frequency_vs_baseline,51,0.0,24.5,0.007258951130546404,0.7134502923976608,0.007258951130546404
ministral-3b,temporal_cochange_vs_baseline,51,0.0,12.5,0.00019650115765687114,0.9011857707509882,0.0007860046306274846
ministral-3b,all_tools_vs_baseline,51,0.0,46.0,0.0014824687300866476,0.7169230769230769,0.00375383510293788
nemotron-super,structural_vs_baseline,51,0.0,17.0,0.14745716303084003,0.48484848484848486,0.4423714890925201
nemotron-super,temporal_frequency_vs_baseline,51,0.0,30.0,0.47813872202175,0.23076923076923078,0.6565114547770634
nemotron-super,temporal_cochange_vs_baseline,51,0.0,27.0,0.03219289682359186,0.6029411764705882,0.12877158729436744
nemotron-super,all_tools_vs_baseline,51,0.0,43.0,0.3282557273885317,0.2833333333333333,0.6565114547770634
