map_condition,model,n_trials_used_tool,mean_calls_given_used,median_calls_given_used,std_calls_given_used,min_calls,max_calls
ALL,ALL,2109,1.952,1.0,1.477,1,13
structural,ALL,537,2.112,2.0,1.394,1,10
structural,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,135,1.867,1.0,1.118,1,6
structural,deepseek/deepseek-v4-flash,134,2.216,2.0,1.288,1,7
structural,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,134,1.627,1.0,0.947,1,5
structural,mistral/ministral-3b-latest,134,2.739,2.0,1.819,1,10
temporal_frequency,ALL,520,1.702,1.0,1.203,1,10
temporal_frequency,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,130,1.815,1.0,1.451,1,10
temporal_frequency,deepseek/deepseek-v4-flash,121,2.074,2.0,1.205,1,7
temporal_frequency,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,134,1.41,1.0,0.869,1,6
temporal_frequency,mistral/ministral-3b-latest,135,1.548,1.0,1.131,1,9
temporal_cochange,ALL,513,1.353,1.0,0.785,1,8
temporal_cochange,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,128,1.609,1.0,1.088,1,8
temporal_cochange,deepseek/deepseek-v4-flash,119,1.462,1.0,0.821,1,5
temporal_cochange,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,132,1.174,1.0,0.559,1,5
temporal_cochange,mistral/ministral-3b-latest,134,1.187,1.0,0.445,1,3
all_tools,ALL,539,2.605,2.0,1.944,1,13
all_tools,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,134,1.619,1.0,1.017,1,7
all_tools,deepseek/deepseek-v4-flash,135,3.837,3.0,2.186,1,13
all_tools,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,135,1.667,1.0,0.954,1,8
all_tools,mistral/ministral-3b-latest,135,3.289,3.0,2.144,1,10
