metric,n,friedman_stat,p_value
tokens,540,305.57777777777665,6.78505884658894e-65
cost,540,138.30650986202326,6.503854303114895e-29
wall_time,540,4.1755718122037395,0.3827659369608752
turns,540,210.1523331660812,2.4638739739917603e-44
