comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,55,42,13,14.255,0.00015967470494025735,0.00024002971803040009
temporal_frequency_vs_baseline,540,52,41,11,16.173,5.7809945574285174e-05,0.0001734298367228555
temporal_cochange_vs_baseline,540,59,47,12,19.593,9.580857198511218e-06,3.832342879404487e-05
all_tools_vs_baseline,540,53,41,12,14.792,0.00012001485901520004,0.00024002971803040009
