condition,coef,exp(coef),se(coef),p,p_holm
all_tools,0.1942773913862913,1.2144331095214875,0.06817287946966061,0.004375011845702017,0.017500047382808068
structural,0.08657395372604428,1.0904320062458426,0.06862592133335349,0.20711640967085512,0.6213492290125654
temporal_cochange,0.07172726134049628,1.0743622839720701,0.06796512398974534,0.2912634804103048,0.6213492290125654
temporal_frequency,0.07328069577985126,1.0760325323191076,0.0680307639783167,0.281404339927857,0.6213492290125654
