comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural_vs_baseline,540,94,0.0,2181.5,0.8469512528648875,0.02284434490481523,1.0
temporal_frequency_vs_baseline,540,93,0.0,1962.0,0.3900098563617904,0.10226492793411118,1.0
temporal_cochange_vs_baseline,540,114,0.0,2760.0,0.14255959704210328,0.15789473684210525,0.5702383881684131
all_tools_vs_baseline,540,101,0.0,2512.5,0.8305776576838602,0.0244612696563774,1.0
