comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural_vs_baseline,204,67,0.0,510.0,8.015957494763639e-05,0.5522388059701493,0.0002404787248429092
temporal_frequency_vs_baseline,204,58,0.0,468.0,0.0025835938385785954,0.45295149035651666,0.0025835938385785954
temporal_cochange_vs_baseline,204,76,0.0,544.5,1.7360346718960512e-06,0.6278195488721805,6.944138687584205e-06
all_tools_vs_baseline,204,75,0.0,782.5,0.0006347196824798866,0.45087719298245615,0.0012694393649597732
