comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,46,25,21,0.196,0.6582534143112833,1.0
temporal_frequency_vs_baseline,540,45,28,17,2.222,0.13603712811414423,0.40811138434243266
temporal_cochange_vs_baseline,540,40,27,13,4.225,0.039832619244741525,0.1593304769789661
all_tools_vs_baseline,540,38,21,17,0.237,0.6264962743469111,1.0
