comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,36,23,13,2.25,0.13361440253771584,0.13361440253771584
temporal_frequency_vs_baseline,540,32,22,10,3.781,0.05182992721790985,0.1036598544358197
temporal_cochange_vs_baseline,540,28,23,5,10.321,0.0013149446697132139,0.0052597786788528555
all_tools_vs_baseline,540,30,23,7,7.5,0.0061698993205441645,0.018509697961632494
