comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,1,1,0,0.0,1.0,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,2,2,0,0.5,0.47950012218695337,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,2,2,0,0.5,0.47950012218695337,deepseek-flash,1.0
all_tools_vs_baseline,135,1,1,0,0.0,1.0,deepseek-flash,1.0
structural_vs_baseline,135,11,8,3,1.455,0.22779999398822554,gpt-oss-120b,0.7257968308856658
temporal_frequency_vs_baseline,135,14,10,4,1.786,0.18144920772141646,gpt-oss-120b,0.7257968308856658
temporal_cochange_vs_baseline,135,15,10,5,1.067,0.30169958247834494,gpt-oss-120b,0.7257968308856658
all_tools_vs_baseline,135,13,9,4,1.231,0.2672574931543847,gpt-oss-120b,0.7257968308856658
structural_vs_baseline,135,27,21,6,7.259,0.007053637888068591,ministral-3b,0.007053637888068591
temporal_frequency_vs_baseline,135,26,22,4,11.115,0.0008561456864208797,ministral-3b,0.002568437059262639
temporal_cochange_vs_baseline,135,25,21,4,10.24,0.0013742758758316976,ministral-3b,0.0027485517516633953
all_tools_vs_baseline,135,24,22,2,15.042,0.00010516355403363098,ministral-3b,0.0004206542161345239
structural_vs_baseline,135,16,12,4,3.062,0.08011831372763421,nemotron-super,0.24035494118290263
temporal_frequency_vs_baseline,135,10,7,3,0.9,0.34278171114790873,nemotron-super,0.6855634222958175
temporal_cochange_vs_baseline,135,17,14,3,5.882,0.015293371030198944,nemotron-super,0.061173484120795776
all_tools_vs_baseline,135,15,9,6,0.267,0.6055766163353462,nemotron-super,0.6855634222958175
