model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,structural_vs_baseline,135,0.0,262.5,0.5482546802056966,-0.11764705882352941,1.0
deepseek-flash,temporal_frequency_vs_baseline,135,0.0,133.5,0.6360398744023825,-0.11,1.0
deepseek-flash,temporal_cochange_vs_baseline,135,0.0,372.0,0.4475534472554613,-0.13588850174216027,1.0
deepseek-flash,all_tools_vs_baseline,135,0.0,158.5,0.6652518834510639,-0.09686609686609686,1.0
gpt-oss-120b,structural_vs_baseline,135,0.0,47.0,0.45497979618119466,-0.21666666666666667,1.0
gpt-oss-120b,temporal_frequency_vs_baseline,135,0.0,63.5,0.5365194404095401,-0.16993464052287582,1.0
gpt-oss-120b,temporal_cochange_vs_baseline,135,0.0,66.5,0.25046077432462144,0.3,1.0
gpt-oss-120b,all_tools_vs_baseline,135,0.0,78.0,0.7422934655330418,-0.08771929824561403,1.0
ministral-3b,structural_vs_baseline,135,0.0,138.0,1.0,0.0,1.0
ministral-3b,temporal_frequency_vs_baseline,135,0.0,110.5,0.032362170881676276,0.45566502463054187,0.1294486835267051
ministral-3b,temporal_cochange_vs_baseline,135,0.0,201.0,0.23598884151563748,0.23863636363636365,0.7079665245469124
ministral-3b,all_tools_vs_baseline,135,0.0,221.0,0.41931533088928397,0.16287878787878787,0.8386306617785679
nemotron-super,structural_vs_baseline,135,0.0,84.5,0.17089215079765452,0.33201581027667987,0.5126764523929636
nemotron-super,temporal_frequency_vs_baseline,135,0.0,136.5,0.6988445791278306,-0.09,1.0
nemotron-super,temporal_cochange_vs_baseline,135,0.0,79.5,0.125458784541955,0.3715415019762846,0.50183513816782
nemotron-super,all_tools_vs_baseline,135,0.0,153.0,0.7974840950684615,0.05846153846153846,1.0
