metric,model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,deepseek-flash,structural_vs_baseline,135,28247.0,3029.0,0.000607219851197999,0.3400871459694989,0.000607219851197999
tokens,deepseek-flash,temporal_frequency_vs_baseline,135,35932.0,2569.0,9.052467254326836e-06,0.4403050108932462,1.8104934508653673e-05
tokens,deepseek-flash,temporal_cochange_vs_baseline,135,66155.0,1554.0,2.5956205588124126e-11,0.661437908496732,1.038248223524965e-10
tokens,deepseek-flash,all_tools_vs_baseline,135,63814.0,1902.0,3.5574251070483587e-09,0.5856209150326798,1.0672275321145077e-08
tokens,gpt-oss-120b,structural_vs_baseline,135,40258.0,1181.0,7.043050590772321e-14,0.7427015250544662,2.8172202363089284e-13
tokens,gpt-oss-120b,temporal_frequency_vs_baseline,135,23276.0,1722.0,2.9979136867662187e-10,0.6248366013071895,5.995827373532437e-10
tokens,gpt-oss-120b,temporal_cochange_vs_baseline,135,25321.0,1864.0,2.1372450336125825e-09,0.5938997821350762,2.1372450336125825e-09
tokens,gpt-oss-120b,all_tools_vs_baseline,135,31329.0,1296.0,4.672564160774613e-13,0.7176470588235294,1.4017692482323837e-12
tokens,ministral-3b,structural_vs_baseline,135,16062.0,2620.0,1.514004057671276e-05,0.42919389978213507,1.514004057671276e-05
tokens,ministral-3b,temporal_frequency_vs_baseline,135,25354.0,2472.0,3.2922868059620495e-06,0.46143790849673205,6.584573611924099e-06
tokens,ministral-3b,temporal_cochange_vs_baseline,135,38567.0,1580.0,3.823620835542478e-11,0.6557734204793029,1.1470862506627434e-10
tokens,ministral-3b,all_tools_vs_baseline,135,39574.0,1474.0,7.724889009802378e-12,0.6788671023965142,3.089955603920951e-11
tokens,nemotron-super,structural_vs_baseline,135,39259.0,1965.0,8.156384334575245e-09,0.5718954248366013,8.156384334575245e-09
tokens,nemotron-super,temporal_frequency_vs_baseline,135,37317.0,1620.0,6.895831640374865e-11,0.6470588235294118,1.6355248407728264e-10
tokens,nemotron-super,temporal_cochange_vs_baseline,135,37573.0,918.0,7.342604820846255e-16,0.8,2.937041928338502e-15
tokens,nemotron-super,all_tools_vs_baseline,135,39461.0,1604.0,5.451749469242755e-11,0.6505446623093681,1.6355248407728264e-10
cost,deepseek-flash,structural_vs_baseline,135,0.000699,2932.5,0.000413867843625645,0.351575456053068,0.000413867843625645
cost,deepseek-flash,temporal_frequency_vs_baseline,135,0.0007639999999999991,2891.0,0.00019037827189778898,0.3701525054466231,0.00038075654379557796
cost,deepseek-flash,temporal_cochange_vs_baseline,135,0.000876,2094.0,4.2083885772353885e-08,0.5437908496732026,1.6833554308941554e-07
cost,deepseek-flash,all_tools_vs_baseline,135,0.0012199999999999997,2344.0,8.105436957982912e-07,0.48932461873638344,2.4316310873948736e-06
cost,gpt-oss-120b,structural_vs_baseline,135,0.003367,1129.0,2.932355121904629e-14,0.7540305010893246,1.1729420487618516e-13
cost,gpt-oss-120b,temporal_frequency_vs_baseline,135,0.001628,2030.0,1.882821775832007e-08,0.5577342047930284,3.765643551664014e-08
cost,gpt-oss-120b,temporal_cochange_vs_baseline,135,0.0016400000000000004,2313.0,5.706501963883164e-07,0.49607843137254903,5.706501963883164e-07
cost,gpt-oss-120b,all_tools_vs_baseline,135,0.0020670000000000003,1874.0,2.4455267745077164e-09,0.5917211328976035,7.336580323523149e-09
cost,ministral-3b,structural_vs_baseline,135,-4.500000000000001e-05,4230.0,0.42914507989794404,-0.0784313725490196,1.0
cost,ministral-3b,temporal_frequency_vs_baseline,135,-0.00013700000000000002,3953.5,0.16213626306625006,-0.1386710239651416,0.6485450522650003
cost,ministral-3b,temporal_cochange_vs_baseline,135,0.00018000000000000047,4252.5,0.4585482469842792,0.07352941176470588,1.0
cost,ministral-3b,all_tools_vs_baseline,135,0.00010399999999999993,4509.0,0.8588035350772747,0.01764705882352941,1.0
cost,nemotron-super,structural_vs_baseline,135,0.004749,1819.0,1.158743865204138e-09,0.6037037037037037,1.158743865204138e-09
cost,nemotron-super,temporal_frequency_vs_baseline,135,0.0073290000000000004,1144.0,3.780602443046297e-14,0.7507625272331154,1.1341807329138891e-13
cost,nemotron-super,temporal_cochange_vs_baseline,135,0.00903,769.0,4.782396220233625e-17,0.8324618736383442,1.91295848809345e-16
cost,nemotron-super,all_tools_vs_baseline,135,0.007447,1450.0,5.338551614552731e-12,0.6840958605664488,1.0677103229105462e-11
wall_time,deepseek-flash,structural_vs_baseline,135,-8.059999999999995,2667.0,2.406264522610567e-05,-0.4189542483660131,9.625058090442268e-05
wall_time,deepseek-flash,temporal_frequency_vs_baseline,135,-6.770000000000003,3257.0,0.003415666238172034,-0.29041394335511983,0.010246998714516103
wall_time,deepseek-flash,temporal_cochange_vs_baseline,135,-4.84,3959.0,0.1657948843682422,-0.13747276688453158,0.1657948843682422
wall_time,deepseek-flash,all_tools_vs_baseline,135,-5.290000000000006,3546.0,0.02185367672890599,-0.22745098039215686,0.04370735345781198
wall_time,gpt-oss-120b,structural_vs_baseline,135,17.309999999999995,1950.0,6.705517712407522e-09,0.5751633986928104,2.682207084963009e-08
wall_time,gpt-oss-120b,temporal_frequency_vs_baseline,135,21.21,2016.0,1.5750028062518262e-08,0.5607843137254902,4.725008418755479e-08
wall_time,gpt-oss-120b,temporal_cochange_vs_baseline,135,13.299999999999997,2358.0,9.483574322426725e-07,0.48627450980392156,1.896714864485345e-06
wall_time,gpt-oss-120b,all_tools_vs_baseline,135,4.859999999999999,3435.0,0.011190744726062614,0.25163398692810457,0.011190744726062614
wall_time,ministral-3b,structural_vs_baseline,135,-12.219999999999999,764.0,4.3553754451636576e-17,-0.8335511982570806,8.710750890327315e-17
wall_time,ministral-3b,temporal_frequency_vs_baseline,135,-14.110000000000001,356.0,1.4179437506858777e-20,-0.9224400871459695,5.671775002743511e-20
wall_time,ministral-3b,temporal_cochange_vs_baseline,135,-12.290000000000003,560.0,8.678066880457743e-19,-0.8779956427015251,2.6034200641373227e-18
wall_time,ministral-3b,all_tools_vs_baseline,135,-11.979999999999999,911.0,6.473650397806157e-16,-0.8015250544662309,6.473650397806157e-16
wall_time,nemotron-super,structural_vs_baseline,135,93.63,2367.0,1.0485773325909179e-06,0.4843137254901961,1.0485773325909179e-06
wall_time,nemotron-super,temporal_frequency_vs_baseline,135,145.43,1260.0,2.6015469639776656e-13,0.7254901960784313,1.0406187855910662e-12
wall_time,nemotron-super,temporal_cochange_vs_baseline,135,142.20999999999998,1352.0,1.1478482410998442e-12,0.7054466230936819,3.4435447232995323e-12
wall_time,nemotron-super,all_tools_vs_baseline,135,98.57999999999998,1849.0,1.7445917766047687e-09,0.5971677559912854,3.4891835532095373e-09
turns,deepseek-flash,structural_vs_baseline,135,0.0,1983.0,0.015248007688896515,0.27362637362637365,0.015248007688896515
turns,deepseek-flash,temporal_frequency_vs_baseline,135,2.0,1742.0,5.599033876291602e-05,0.4395109395109395,0.00011198067752583204
turns,deepseek-flash,temporal_cochange_vs_baseline,135,2.0,1109.0,2.220097004676895e-09,0.6494943109987358,8.88038801870758e-09
turns,deepseek-flash,all_tools_vs_baseline,135,2.0,1052.5,6.610023149086083e-07,0.5747474747474748,1.9830069447258248e-06
turns,gpt-oss-120b,structural_vs_baseline,135,4.0,1357.0,2.531793756288212e-11,0.6763267740011926,7.595381268864635e-11
turns,gpt-oss-120b,temporal_frequency_vs_baseline,135,4.0,1257.0,8.252874904638163e-12,0.6954941860465116,3.301149961855265e-11
turns,gpt-oss-120b,temporal_cochange_vs_baseline,135,3.0,1430.5,3.7396860688142674e-10,0.6424196975378078,7.479372137628535e-10
turns,gpt-oss-120b,all_tools_vs_baseline,135,3.0,1687.5,2.8575464764179002e-08,0.5714285714285714,2.8575464764179002e-08
turns,ministral-3b,structural_vs_baseline,135,2.0,2755.5,0.0024065229783885415,0.31121109861267343,0.004813045956777083
turns,ministral-3b,temporal_frequency_vs_baseline,135,2.0,2961.0,0.007858921253469561,0.27140748031496065,0.007858921253469561
turns,ministral-3b,temporal_cochange_vs_baseline,135,3.0,1915.0,6.056789230545495e-07,0.5136507936507937,2.422715692218198e-06
turns,ministral-3b,all_tools_vs_baseline,135,3.0,1883.5,1.7707358361201182e-06,0.4979341596694655,5.312207508360354e-06
turns,nemotron-super,structural_vs_baseline,135,3.0,1642.5,3.0694229451817185e-07,0.5399159663865546,6.138845890363437e-07
turns,nemotron-super,temporal_frequency_vs_baseline,135,2.0,1574.5,9.070014648133924e-09,0.5936774193548388,2.721004394440177e-08
turns,nemotron-super,temporal_cochange_vs_baseline,135,3.0,1277.0,1.1044766300963194e-11,0.6906492248062015,4.4179065203852774e-11
turns,nemotron-super,all_tools_vs_baseline,135,2.0,1663.5,6.749409450358831e-07,0.5261358780800456,6.749409450358831e-07
