metric,comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,structural_vs_baseline,540,540,30554.0,35208.0,1.8482250161752052e-25,0.5179297597042514,1.8482250161752052e-25
tokens,temporal_frequency_vs_baseline,540,540,30915.5,33761.0,2.568197533930392e-27,0.5377421784076127,5.136395067860784e-27
tokens,temporal_cochange_vs_baseline,540,540,37795.0,23674.0,3.609518808956692e-42,0.6758540425823235,1.4438075235826768e-41
tokens,all_tools_vs_baseline,540,540,40575.5,25186.0,9.916778735595653e-40,0.6551516396248374,2.975033620678696e-39
cost,structural_vs_baseline,540,539,0.0011465000000000004,40666.5,7.096773602646911e-19,0.44112554112554114,7.096773602646911e-19
cost,temporal_frequency_vs_baseline,540,540,0.001147,40231.5,1.5228702627260263e-19,0.44914766892585745,3.0457405254520525e-19
cost,temporal_cochange_vs_baseline,540,540,0.0014820000000000002,33866.5,3.526512401948365e-27,0.5362976655028411,1.410604960779346e-26
cost,all_tools_vs_baseline,540,540,0.0014910000000000001,38265.5,9.238651066736214e-22,0.4760662695967687,2.7715953200208643e-21
wall_time,structural_vs_baseline,540,540,-2.345000000000002,66547.5,0.0737048698525886,0.08882727459437256,0.1474097397051772
wall_time,temporal_frequency_vs_baseline,540,540,0.964999999999999,59981.0,0.0003198604550979717,0.17873622235914288,0.0009595813652939152
wall_time,temporal_cochange_vs_baseline,540,540,0.6799999999999988,59063.5,0.00011735228631343728,0.19129869240774972,0.00046940914525374914
wall_time,all_tools_vs_baseline,540,540,-1.855000000000004,67607.0,0.13455894793266646,0.07432053125213939,0.1474097397051772
turns,structural_vs_baseline,540,478,2.0,30641.5,1.2175302466292052e-18,0.46468846358784427,1.2175302466292052e-18
turns,temporal_frequency_vs_baseline,540,490,2.0,29948.5,5.259665470113685e-22,0.5020823808138326,1.051933094022737e-21
turns,temporal_cochange_vs_baseline,540,491,3.0,22964.5,9.865344641395907e-33,0.6197489775305085,3.946137856558363e-32
turns,all_tools_vs_baseline,540,464,2.0,24746.5,4.819097688018178e-24,0.5412217278457545,1.4457293064054535e-23
