"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"turns_used","three_way_interaction_LRT",12.7836136403712,12,0.38496286213353,16853.3280452349,16842.1116588752
"hit_turn_cap","three_way_interaction_LRT",11.3597960574682,12,0.498361512390853,1049.48469430158,1036.84449035905
