"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"total_input_tokens","three_way_interaction_LRT",13.3815434896096,12,0.341928968987574,68035.1359488094,68024.517492299
"total_cost","three_way_interaction_LRT",16.7632645032245,12,0.158721594290721,-22583.286077588,-22590.5228130848
"wall_time_seconds","three_way_interaction_LRT",22.2921387649294,12,0.0343731255030951,26674.3747937758,26672.6669325407
