repo,issue_idx,base_commit,ast_files,ast_bytes,freq_files,freq_bytes,cochange_files,cochange_bytes,status,error_message,duration_seconds
stable-diffusion-webui,5,16ab1742,134,316522,134,10680,134,302215,success,,9.5
thefuck,10,1a595f1b,203,102545,203,16911,203,1038728,success,,4.4
