keras/layers/core.py  [284 edits, last: 2016-09-21]
keras/models.py  [220 edits, last: 2016-10-23]
keras/backend/tensorflow_backend.py  [141 edits, last: 2016-10-24]
keras/backend/theano_backend.py  [119 edits, last: 2016-10-16]
keras/layers/convolutional.py  [117 edits, last: 2016-10-12]
keras/layers/recurrent.py  [117 edits, last: 2016-08-30]
keras/callbacks.py  [79 edits, last: 2016-10-24]
keras/engine/topology.py  [76 edits, last: 2016-10-20]
keras/optimizers.py  [68 edits, last: 2016-10-13]
keras/engine/training.py  [62 edits, last: 2016-10-23]
keras/layers/normalization.py  [55 edits, last: 2016-10-01]
keras/layers/embeddings.py  [50 edits, last: 2016-07-29]
keras/preprocessing/image.py  [47 edits, last: 2016-10-25]
keras/objectives.py  [43 edits, last: 2016-06-02]
keras/layers/advanced_activations.py  [41 edits, last: 2016-09-22]
keras/regularizers.py  [33 edits, last: 2016-09-18]
keras/utils/generic_utils.py  [28 edits, last: 2016-10-04]
keras/utils/layer_utils.py  [27 edits, last: 2016-09-30]
keras/activations.py  [25 edits, last: 2016-09-22]
keras/layers/noise.py  [22 edits, last: 2016-07-19]
keras/preprocessing/sequence.py  [22 edits, last: 2016-08-29]
keras/backend/__init__.py  [21 edits, last: 2016-09-21]
keras/backend/common.py  [20 edits, last: 2016-09-13]
keras/preprocessing/text.py  [20 edits, last: 2016-07-16]
keras/wrappers/scikit_learn.py  [20 edits, last: 2016-10-20]
keras/__init__.py  [19 edits, last: 2016-09-19]
keras/constraints.py  [19 edits, last: 2016-04-04]
keras/datasets/data_utils.py  [19 edits, last: 2016-03-06]
keras/initializations.py  [18 edits, last: 2016-07-19]
keras/datasets/reuters.py  [16 edits, last: 2016-10-08]
keras/layers/wrappers.py  [16 edits, last: 2016-09-21]
keras/utils/np_utils.py  [16 edits, last: 2016-10-01]
keras/utils/test_utils.py  [14 edits, last: 2016-07-25]
keras/utils/visualize_util.py  [14 edits, last: 2016-10-25]
keras/datasets/imdb.py  [12 edits, last: 2016-07-27]
keras/metrics.py  [11 edits, last: 2016-10-18]
keras/datasets/cifar10.py  [10 edits, last: 2016-09-06]
keras/utils/io_utils.py  [9 edits, last: 2016-10-01]
keras/layers/pooling.py  [8 edits, last: 2016-10-07]
keras/legacy/models.py  [8 edits, last: 2016-10-21]
keras/datasets/mnist.py  [7 edits, last: 2016-10-08]
keras/layers/__init__.py  [7 edits, last: 2016-07-03]
keras/datasets/cifar.py  [6 edits, last: 2016-05-06]
keras/utils/data_utils.py  [6 edits, last: 2016-08-29]
keras/applications/music_tagger_crnn.py  [4 edits, last: 2016-10-01]
keras/datasets/cifar100.py  [4 edits, last: 2016-09-06]
keras/layers/local.py  [4 edits, last: 2016-08-28]
keras/applications/__init__.py  [3 edits, last: 2016-10-19]
keras/applications/audio_conv_utils.py  [3 edits, last: 2016-10-01]
keras/applications/imagenet_utils.py  [3 edits, last: 2016-10-12]
keras/applications/inception_v3.py  [3 edits, last: 2016-10-19]
keras/applications/resnet50.py  [2 edits, last: 2016-08-31]
keras/applications/vgg16.py  [2 edits, last: 2016-08-31]
keras/applications/vgg19.py  [2 edits, last: 2016-08-31]
keras/applications/xception.py  [1 edits, last: 2016-10-19]
keras/datasets/__init__.py  [1 edits, last: 2015-03-29]
keras/engine/__init__.py  [1 edits, last: 2016-03-31]
keras/legacy/__init__.py  [1 edits, last: 2016-03-31]
keras/preprocessing/__init__.py  [1 edits, last: 2015-03-29]
keras/utils/__init__.py  [1 edits, last: 2015-03-29]
keras/wrappers/__init__.py  [1 edits, last: 2015-05-25]
