metric,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,2160,2160,21521.0,695398.5,1.722056225723863e-59,0.4040837575196668,3.444112451447726e-59
cost,2160,2160,0.0011609999999999993,627101.5,2.136572436094219e-77,0.4626103312938112,8.546289744376877e-77
wall_time,2160,2159,7.954999999999999,634746.5,4.462166521971478e-75,0.4555551266875954,1.3386499565914434e-74
turns,2160,1900,2.0,543073.5,2.5715171817921354e-51,0.3985730501951881,2.5715171817921354e-51
