map_condition,coef,exp(coef),se(coef),p,p_holm
structural,0.034772379829034444,1.035384007690632,0.07080145289514866,0.6233378779679727,1.0
temporal_frequency,-0.036374250481479596,0.9642793439358163,0.07111447370201901,0.6090088913237348,1.0
temporal_cochange,0.017400048471124807,1.0175523111585512,0.07091987448777051,0.8061869983655933,1.0
all_tools,0.1444607234186079,1.1554163132696698,0.07115238020537333,0.04232598871373817,0.16930395485495267
