comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
required_vs_voluntary,540,68,35,33,0.015,0.9034789137192296,deepseek-flash,0.9034789137192296
required_vs_voluntary,540,35,28,7,11.429,0.0007232327164301936,gpt-oss-120b,0.0028929308657207743
required_vs_voluntary,540,13,4,9,1.231,0.2672574931543847,ministral-3b,0.5345149863087694
required_vs_voluntary,540,40,31,9,11.025,0.000898912788114091,nemotron-super,0.0028929308657207743
