comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,map_condition,p_holm
required_vs_voluntary,540,50,23,27,0.18,0.6713732405408727,structural,0.6713732405408727
required_vs_voluntary,540,52,30,22,0.942,0.33168506805685966,temporal_frequency,0.6633701361137193
required_vs_voluntary,540,49,35,14,8.163,0.004274733960172565,temporal_cochange,0.01709893584069026
required_vs_voluntary,540,52,32,20,2.327,0.1271529926000142,all_tools,0.38145897780004256
