comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
required_vs_voluntary,540,9,9,0,7.111,0.007660761135179461,deepseek-flash,0.007660761135179461
required_vs_voluntary,540,47,37,10,14.383,0.00014914439102564321,gpt-oss-120b,0.00044743317307692964
required_vs_voluntary,540,90,70,20,26.678,2.4037014598347976e-07,ministral-3b,9.61480583933919e-07
required_vs_voluntary,540,64,45,19,9.766,0.001778050598216865,nemotron-super,0.00355610119643373
