model_short,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
deepseek-flash,540,0.0,4907.0,0.531735654740424,-0.05996168582375479,0.7772646396184941
gpt-oss-120b,540,0.0,1194.0,0.38863231980924706,0.1158830062939652,0.7772646396184941
ministral-3b,540,0.0,4038.0,0.02419233485590968,0.21561771561771562,0.09676933942363872
nemotron-super,540,0.0,2476.5,0.148616857131942,0.15851172273190622,0.445850571395826
