"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"total_input_tokens","three_way_interaction_LRT",7.37774452484155,9,0.59785370085134,108463.259638582,108452.637383107
"total_cost","three_way_interaction_LRT",5.65170918808144,9,0.774206850663139,-36630.2035335337,-36642.5518243457
"wall_time_seconds","three_way_interaction_LRT",12.6473695265304,9,0.179222238243632,41686.5235866815,41681.1709562081
