map_condition,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural,540,0.0,3110.5,0.6351742620383122,-0.0509534706331045,1.0
temporal_frequency,540,0.0,2995.0,0.8631985927009416,0.018837018837018837,1.0
temporal_cochange,540,0.0,2988.5,0.004551963193537864,0.28717948717948716,0.018207852774151455
all_tools,540,0.0,2655.5,0.05684994082769489,0.20374812593703148,0.17054982248308467
