comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,map_condition,p_holm
required_vs_voluntary,540,43,23,20,0.093,0.7603683300552028,structural,0.7603683300552028
required_vs_voluntary,540,39,28,11,6.564,0.010405619868873605,temporal_frequency,0.04162247947549442
required_vs_voluntary,540,30,21,9,4.033,0.04460971802493953,temporal_cochange,0.1338291540748186
required_vs_voluntary,540,44,26,18,1.114,0.2912928476178098,all_tools,0.5825856952356196
