"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"f1","three_way_interaction_LRT",9.42155555849195,9,0.399305004127344,3448.21414396605,3439.63569952454
"success","three_way_interaction_LRT",1.72222968132496,9,0.99513810065943,1934.08642337523,1917.80865305655
