model_short,coef,exp(coef),se(coef),p,p_holm
deepseek-flash,-0.05080235138111296,0.9504665103617455,0.06674554918603703,0.446576635816605,0.89315327163321
gpt-oss-120b,0.007525264635978581,1.0075536505991862,0.07238797523618995,0.9172031668372425,0.9172031668372425
ministral-3b,0.12146138326442994,1.1291457611599474,0.07404959885581537,0.10094890637027942,0.4037956254811177
nemotron-super,0.09978452872175138,1.1049328111387708,0.0714471194208683,0.16252765041621542,0.48758295124864626
