sklearn/svm/_base.py  [13 edits, last: 2020-05-19]
sklearn/_config.py  [12 edits, last: 2020-05-28]
sklearn/cluster/_agglomerative.py  [12 edits, last: 2020-06-24]
sklearn/cluster/_dbscan.py  [12 edits, last: 2020-06-09]
sklearn/manifold/_t_sne.py  [12 edits, last: 2020-06-24]
sklearn/mixture/__init__.py  [12 edits, last: 2019-10-16]
sklearn/svm/__init__.py  [12 edits, last: 2019-10-18]
sklearn/utils/_testing.py  [12 edits, last: 2020-05-20]
sklearn/cluster/_birch.py  [11 edits, last: 2020-05-10]
sklearn/cluster/_optics.py  [11 edits, last: 2020-06-24]
sklearn/decomposition/_pca.py  [11 edits, last: 2020-05-20]
sklearn/decomposition/_sparse_pca.py  [11 edits, last: 2020-06-03]
sklearn/linear_model/_least_angle.py  [11 edits, last: 2020-06-24]
sklearn/manifold/setup.py  [11 edits, last: 2019-03-27]
sklearn/metrics/_regression.py  [11 edits, last: 2020-07-04]
sklearn/neighbors/_base.py  [11 edits, last: 2020-06-24]
sklearn/cluster/_spectral.py  [10 edits, last: 2020-06-18]
sklearn/datasets/_openml.py  [10 edits, last: 2020-06-25]
sklearn/datasets/setup.py  [10 edits, last: 2019-10-27]
sklearn/decomposition/_kernel_pca.py  [10 edits, last: 2020-06-26]
sklearn/decomposition/_lda.py  [10 edits, last: 2020-06-24]
sklearn/decomposition/_nmf.py  [10 edits, last: 2020-07-04]
sklearn/ensemble/_hist_gradient_boosting/grower.py  [10 edits, last: 2020-03-24]
sklearn/feature_selection/_univariate_selection.py  [10 edits, last: 2020-06-24]
sklearn/gaussian_process/_gpc.py  [10 edits, last: 2020-06-25]
sklearn/inspection/_plot/partial_dependence.py  [10 edits, last: 2020-06-26]
sklearn/neighbors/_lof.py  [10 edits, last: 2020-06-26]
sklearn/utils/_mocking.py  [10 edits, last: 2020-06-24]
sklearn/cluster/_mean_shift.py  [9 edits, last: 2020-06-24]
sklearn/covariance/_graph_lasso.py  [9 edits, last: 2020-06-08]
sklearn/cross_decomposition/_pls.py  [9 edits, last: 2020-06-23]
sklearn/decomposition/_truncated_svd.py  [9 edits, last: 2020-05-20]
sklearn/ensemble/_hist_gradient_boosting/binning.py  [9 edits, last: 2020-03-25]
sklearn/gaussian_process/_gpr.py  [9 edits, last: 2020-04-20]
sklearn/metrics/cluster/_supervised.py  [9 edits, last: 2020-06-24]
sklearn/metrics/cluster/setup.py  [9 edits, last: 2019-10-23]
sklearn/mixture/_bayesian_mixture.py  [9 edits, last: 2020-06-06]
sklearn/neighbors/setup.py  [9 edits, last: 2019-10-23]
sklearn/neural_network/_base.py  [9 edits, last: 2020-06-21]
sklearn/neural_network/_rbm.py  [9 edits, last: 2020-06-24]
sklearn/neural_network/_stochastic_optimizers.py  [9 edits, last: 2020-01-21]
sklearn/semi_supervised/_label_propagation.py  [9 edits, last: 2020-04-24]
sklearn/cluster/_affinity_propagation.py  [8 edits, last: 2020-06-07]
sklearn/cluster/_bicluster.py  [8 edits, last: 2020-06-07]
sklearn/decomposition/_factor_analysis.py  [8 edits, last: 2020-07-05]
sklearn/decomposition/_incremental_pca.py  [8 edits, last: 2020-05-16]
sklearn/feature_selection/_from_model.py  [8 edits, last: 2020-06-07]
sklearn/linear_model/_bayes.py  [8 edits, last: 2020-07-04]
sklearn/metrics/_scorer.py  [8 edits, last: 2020-07-04]
sklearn/metrics/cluster/_unsupervised.py  [8 edits, last: 2020-06-24]
sklearn/neighbors/_nca.py  [8 edits, last: 2020-04-27]
sklearn/neighbors/_unsupervised.py  [8 edits, last: 2020-06-18]
sklearn/preprocessing/_label.py  [8 edits, last: 2020-06-25]
