comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,48,26,22,0.188,0.6650055421020291,0.6650055421020291
temporal_frequency_vs_baseline,540,43,28,15,3.349,0.06725250426083074,0.13450500852166147
temporal_cochange_vs_baseline,540,50,33,17,4.5,0.033894853524689295,0.10168456057406788
