metric,comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,structural_vs_baseline,540,540,133393.0,9966.0,1.0434299496825803e-67,0.8635448757445061,3.130289849047741e-67
tokens,temporal_frequency_vs_baseline,540,540,28339.0,34694.5,4.126250753603896e-26,0.5249606353118368,4.126250753603896e-26
tokens,temporal_cochange_vs_baseline,540,540,51041.0,21815.0,2.857092594436927e-45,0.7013075922502909,5.714185188873854e-45
cost,structural_vs_baseline,540,540,0.0054485,16913.0,5.409332495489359e-54,0.768426097076744,1.6227997486468077e-53
cost,temporal_frequency_vs_baseline,540,539,0.0013470000000000005,41113.5,2.1373795786914128e-18,0.4349824778396207,2.1373795786914128e-18
cost,temporal_cochange_vs_baseline,540,540,0.0019895,29674.5,6.232022439464795e-33,0.5936948038611625,1.246404487892959e-32
wall_time,structural_vs_baseline,540,540,8.42,53623.0,8.727550605387582e-08,0.26579037447799003,2.6182651816162747e-07
wall_time,temporal_frequency_vs_baseline,540,540,3.1400000000000006,64762.0,0.022568649556018047,0.11327445745190662,0.022568649556018047
wall_time,temporal_cochange_vs_baseline,540,540,7.5699999999999985,53628.5,8.800987776197164e-08,0.2657150681180256,2.6182651816162747e-07
turns,structural_vs_baseline,540,483,-2.0,26377.5,1.306125276379087e-25,-0.5486627996509419,3.918375829137261e-25
turns,temporal_frequency_vs_baseline,540,464,-1.0,37599.0,1.4872099437828191e-08,-0.30294771968854284,2.9744198875656383e-08
turns,temporal_cochange_vs_baseline,540,471,-1.0,43759.0,6.178485590291274e-05,-0.2126560869408759,6.178485590291274e-05
