condition,coef,exp(coef),se(coef),p,p_holm
structural,1.28525758623411,3.6155991658522195,0.08032944634197903,1.2812187687960854e-57,3.8436563063882563e-57
temporal_cochange,0.93578336556178,2.5492096388079735,0.07753510457895524,1.5370034339276262e-33,3.0740068678552525e-33
temporal_frequency,0.914356011829294,2.4951678757989,0.07726180209987146,2.588330955691205e-32,2.588330955691205e-32
