"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"total_input_tokens","three_way_interaction_LRT",13.5897022110366,9,0.137687107002316,55594.1293473632,55589.7190495743
"total_cost","three_way_interaction_LRT",23.1718723115227,9,0.00582164048122782,-16906.1907867961,-16901.0189144846
"wall_time_seconds","three_way_interaction_LRT",49.1545793943806,9,1.55265587233462e-07,22187.7804736852,22218.9350530796
