comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural_vs_baseline,204,69,0.0,1149.0,0.7228154212572323,0.0484472049689441,0.7228154212572323
temporal_frequency_vs_baseline,204,66,0.0,878.0,0.14417565874881116,0.20578923563998192,0.28835131749762233
temporal_cochange_vs_baseline,204,67,0.0,506.5,6.825100368287271e-05,0.5553116769095698,0.00020475301104861814
