metric,model_short,comparison,n,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
tokens,deepseek-flash,structural_vs_baseline,135,166349.0,1033.0,5.623722139003942e-15,0.7749455337690632,1.6871166417011826e-14
tokens,deepseek-flash,temporal_frequency_vs_baseline,135,56727.0,2166.0,1.0165233214313107e-07,0.5281045751633987,1.0165233214313107e-07
tokens,deepseek-flash,temporal_cochange_vs_baseline,135,83149.0,1523.0,1.6286996586046546e-11,0.6681917211328976,3.257399317209309e-11
tokens,gpt-oss-120b,structural_vs_baseline,135,158424.0,104.0,6.689815945474371e-23,0.9773420479302832,2.0069447836423114e-22
tokens,gpt-oss-120b,temporal_frequency_vs_baseline,135,40180.0,1338.0,9.181402214984763e-13,0.7084967320261438,9.181402214984763e-13
tokens,gpt-oss-120b,temporal_cochange_vs_baseline,135,54562.0,699.0,1.2779814615881821e-17,0.8477124183006536,2.5559629231763643e-17
tokens,ministral-3b,structural_vs_baseline,135,122767.0,578.0,1.235780862990037e-18,0.8740740740740741,3.7073425889701106e-18
tokens,ministral-3b,temporal_frequency_vs_baseline,135,16872.0,2965.5,0.0003599461736834918,0.353921568627451,0.0003599461736834918
tokens,ministral-3b,temporal_cochange_vs_baseline,135,38828.0,1822.0,1.2073839656321868e-09,0.6030501089324619,2.4147679312643737e-09
tokens,nemotron-super,structural_vs_baseline,135,70209.0,734.0,2.479428593104651e-17,0.840087145969499,7.438285779313953e-17
tokens,nemotron-super,temporal_frequency_vs_baseline,135,25159.0,2234.0,2.2864562215061898e-07,0.5132897603485839,2.2864562215061898e-07
tokens,nemotron-super,temporal_cochange_vs_baseline,135,33205.0,1322.0,7.105358630312282e-13,0.7119825708061002,1.4210717260624565e-12
cost,deepseek-flash,structural_vs_baseline,135,0.000271,3493.5,0.016031156635459506,0.2388888888888889,0.03206231327091901
cost,deepseek-flash,temporal_frequency_vs_baseline,135,0.00029699999999999996,3522.0,0.02628905623808681,0.22122719734660032,0.03206231327091901
cost,deepseek-flash,temporal_cochange_vs_baseline,135,0.0005580000000000001,3222.5,0.0026698778630371935,0.29793028322440085,0.008009633589111581
cost,gpt-oss-120b,structural_vs_baseline,135,0.008180999999999999,219.0,8.004374647297412e-22,0.9522875816993464,2.4013123941892236e-21
cost,gpt-oss-120b,temporal_frequency_vs_baseline,135,0.003067,1617.0,6.599126165907878e-11,0.6477124183006536,6.599126165907878e-11
cost,gpt-oss-120b,temporal_cochange_vs_baseline,135,0.0036359999999999995,842.0,1.847303650946927e-16,0.816557734204793,3.694607301893854e-16
cost,ministral-3b,structural_vs_baseline,135,0.007583,347.0,1.1771875475393148e-20,0.924400871459695,3.531562642617944e-20
cost,ministral-3b,temporal_frequency_vs_baseline,135,0.0012789999999999998,2376.0,1.1589507092811671e-06,0.4823529411764706,1.1589507092811671e-06
cost,ministral-3b,temporal_cochange_vs_baseline,135,0.002358,1506.0,1.2589527013061151e-11,0.6718954248366014,2.5179054026122303e-11
cost,nemotron-super,structural_vs_baseline,135,0.007799,1267.0,2.916714030070168e-13,0.7239651416122005,8.750142090210504e-13
cost,nemotron-super,temporal_frequency_vs_baseline,135,0.0021799999999999996,2889.0,0.00018708523647359762,0.37058823529411766,0.00018708523647359762
cost,nemotron-super,temporal_cochange_vs_baseline,135,0.003926000000000001,2067.0,3.004483054041885e-08,0.5496732026143791,6.00896610808377e-08
wall_time,deepseek-flash,structural_vs_baseline,135,1.3500000000000014,4124.0,0.3060907595956184,0.10152505446623093,0.6121815191912368
wall_time,deepseek-flash,temporal_frequency_vs_baseline,135,-1.3999999999999986,4439.0,0.7401641809381931,0.03289760348583878,0.7401641809381931
