comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,12,7,5,0.083,0.7728299926844475,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,9,5,4,0.0,1.0,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,17,14,3,5.882,0.015293371030198944,deepseek-flash,0.045880113090596836
structural_vs_baseline,135,7,2,5,0.571,0.4496917979688908,gpt-oss-120b,1.0
temporal_frequency_vs_baseline,135,9,5,4,0.0,1.0,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,8,3,5,0.125,0.7236736098317629,gpt-oss-120b,1.0
structural_vs_baseline,135,15,9,6,0.267,0.6055766163353462,ministral-3b,1.0
temporal_frequency_vs_baseline,135,14,10,4,1.786,0.18144920772141646,ministral-3b,0.5443476231642493
temporal_cochange_vs_baseline,135,14,8,6,0.071,0.7892680261342813,ministral-3b,1.0
structural_vs_baseline,135,14,8,6,0.071,0.7892680261342813,nemotron-super,0.7892680261342813
temporal_frequency_vs_baseline,135,11,8,3,1.455,0.22779999398822554,nemotron-super,0.6833999819646766
temporal_cochange_vs_baseline,135,11,8,3,1.455,0.22779999398822554,nemotron-super,0.6833999819646766
