"outcome","test","chisq","df","p_value","aic_full","aic_reduced"
"f1","three_way_interaction_LRT",9.98771407874688,9,0.351480745966839,1743.93847244594,1735.92618652469
"success","three_way_interaction_LRT",3.65377677079869,9,0.932688704642472,912.21136039025,897.865137161048
