comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,30,5,25,12.033,0.0005225753951242464,0.0015677261853727393
temporal_frequency_vs_baseline,540,25,7,18,4.0,0.04550026389635857,0.04550026389635857
temporal_cochange_vs_baseline,540,25,6,19,5.76,0.01639507184919225,0.0327901436983845
