f1,success,precision,recall,map_condition,model_short,log_codebase_size,codebase_size,issue_id,repo,issue_idx,rep,turns_used,hit_turn_cap,total_input_tokens,total_output_tokens,total_cost,wall_time_seconds
1.0,1,1.0,1.0,baseline,ministral_3b,12.068688124847148,174327,core/16,core,16,1,14,False,151168,1611,0.010808,38.25
0.0,0,0.0,0.0,baseline,ministral_3b,12.068688124847148,174327,core/16,core,16,2,18,False,180485,1706,0.006901,44.37
1.0,1,1.0,1.0,baseline,ministral_3b,12.068688124847148,174327,core/16,core,16,3,5,False,15169,706,0.00123,9.69
1.0,1,1.0,1.0,baseline,ministral_3b,11.506545154005941,99364,core/20,core,20,1,5,False,27591,1661,0.002366,18.45
1.0,1,1.0,1.0,baseline,ministral_3b,11.506545154005941,99364,core/20,core,20,2,4,False,20201,1561,0.001802,16.1
1.0,1,1.0,1.0,baseline,ministral_3b,11.506545154005941,99364,core/20,core,20,3,10,False,52739,1572,0.003605,26.52
0.0,0,0.0,0.0,baseline,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,1,23,False,217559,2094,0.005768,51.0
0.0,0,0.0,0.0,baseline,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,2,13,False,114047,3359,0.006194,47.89
0.0,0,0.0,0.0,baseline,ministral_3b,8.579980179515003,5324,fastapi/17,fastapi,17,3,16,False,116498,8291,0.007076,96.13
0.0,0,0.0,0.0,baseline,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,1,26,False,57462,2548,0.00194,53.08
0.0,0,0.0,0.0,baseline,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,2,29,False,74189,1399,0.002997,44.38
0.0,0,0.0,0.0,baseline,ministral_3b,8.518991573357617,5009,fastapi/20,fastapi,20,3,16,False,42120,2778,0.00142,35.82
0.5,0,1.0,0.3333,baseline,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,1,15,False,101530,1245,0.004569,32.86
0.5,0,1.0,0.3333,baseline,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,2,8,False,37357,849,0.002335,14.66
0.5,0,1.0,0.3333,baseline,ministral_3b,8.482187582217422,4828,fastapi/9,fastapi,9,3,7,False,50244,946,0.00278,15.69
