metric,n,friedman_stat,p_value
tokens,540,534.1711111111108,1.8741659371150158e-115
cost,540,326.2009631413226,2.12016099930989e-70
wall_time,540,52.802222222222554,2.0202837127918055e-11
turns,540,124.72480065426384,7.408174643553105e-27
