comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,model_short,p_holm
structural_vs_baseline,135,5,2,3,0.0,1.0,deepseek-flash,1.0
temporal_frequency_vs_baseline,135,2,2,0,0.5,0.47950012218695337,deepseek-flash,1.0
temporal_cochange_vs_baseline,135,1,1,0,0.0,1.0,deepseek-flash,1.0
structural_vs_baseline,135,20,6,14,2.45,0.11752486809663953,gpt-oss-120b,0.3525746042899186
temporal_frequency_vs_baseline,135,15,6,9,0.267,0.6055766163353462,gpt-oss-120b,1.0
temporal_cochange_vs_baseline,135,13,6,7,0.0,1.0,gpt-oss-120b,1.0
structural_vs_baseline,135,28,18,10,1.75,0.1858767323658721,ministral-3b,0.5576301970976163
temporal_frequency_vs_baseline,135,21,14,7,1.714,0.19043026382552042,ministral-3b,0.5576301970976163
temporal_cochange_vs_baseline,135,34,15,19,0.265,0.6069054272179508,ministral-3b,0.6069054272179508
structural_vs_baseline,135,20,8,12,0.45,0.502334954360502,nemotron-super,0.6639509341654684
temporal_frequency_vs_baseline,135,17,6,11,0.941,0.3319754670827342,nemotron-super,0.6639509341654684
temporal_cochange_vs_baseline,135,14,10,4,1.786,0.18144920772141646,nemotron-super,0.5443476231642493
