model_short,condition,coef,exp(coef),se(coef),p,p_holm
deepseek-flash,structural,1.714277738429212,5.552663588181238,0.16165785975700808,2.8441205411514586e-26,8.532361623454375e-26
deepseek-flash,temporal_cochange,1.2240270219450695,3.400855514713142,0.1537105223051909,1.6765153062524527e-15,3.3530306125049054e-15
deepseek-flash,temporal_frequency,1.1304613583113394,3.0970850364883193,0.15347574489608581,1.7617612660946943e-13,1.7617612660946943e-13
gpt-oss-120b,structural,0.32451495051844786,1.383359485419666,0.1452600785611528,0.02548129069080423,0.07644387207241268
gpt-oss-120b,temporal_cochange,0.23124244633447877,1.2601647247341925,0.14173026819660714,0.1027707082527486,0.2055414165054972
gpt-oss-120b,temporal_frequency,0.22758285052511357,1.2555614593712503,0.14271731556778366,0.110792589234694,0.2055414165054972
ministral-3b,structural,1.3361675538782325,3.804435237475227,0.16731550631127806,1.3948281520913653e-15,4.184484456274096e-15
ministral-3b,temporal_cochange,0.915855979522305,2.4989133553481495,0.16769953286095363,4.7268402212192334e-08,4.7268402212192334e-08
ministral-3b,temporal_frequency,1.1920245866176764,3.293742929347866,0.16486456209419798,4.818347555628379e-13,9.636695111256758e-13
nemotron-super,structural,1.9279168397603201,6.875173226110147,0.17582374818820448,5.626714578761829e-28,1.6880143736285488e-27
nemotron-super,temporal_cochange,1.4181457172155782,4.129456157112145,0.1653302594251639,9.682791856353107e-18,1.9365583712706213e-17
nemotron-super,temporal_frequency,1.1774978178592028,3.246241345068787,0.1641999293476689,7.438527164882856e-13,7.438527164882856e-13
