outcome,term,coef,std_err,p_value,stat,note
success,"C(model_short, Treatment('deepseek-flash'))[T.gpt-oss-120b]",-0.05958810503127632,0.24409984574946497,0.8071427988394757,-0.24411365295345305,"reduced model (2-way max), size-centered"
success,"C(model_short, Treatment('deepseek-flash'))[T.ministral-3b]",-0.29822764127914186,0.2448379267724976,0.22320062007188113,-1.2180614548180428,"reduced model (2-way max), size-centered"
success,"C(model_short, Treatment('deepseek-flash'))[T.nemotron-super]",-0.26862778087271777,0.24473238019372862,0.27236219906744874,-1.0976389011542882,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.structural]:C(model_short, Treatment('deepseek-flash'))[T.gpt-oss-120b]",-0.14905063360188173,0.3454131134054936,0.6660945923571719,-0.43151411401948,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_cochange]:C(model_short, Treatment('deepseek-flash'))[T.gpt-oss-120b]",-0.38985841436425345,0.34661823547528214,0.26069553288278546,-1.1247487133205225,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_frequency]:C(model_short, Treatment('deepseek-flash'))[T.gpt-oss-120b]",0.00016691863750162896,0.3452411089380524,0.999614235399157,0.0004834842467487835,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.structural]:C(model_short, Treatment('deepseek-flash'))[T.ministral-3b]",0.03060949610767647,0.3459161079055528,0.9294886571437145,0.0884882068459036,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_cochange]:C(model_short, Treatment('deepseek-flash'))[T.ministral-3b]",-0.2697342728657575,0.3471737984116528,0.43719236561789976,-0.7769430587786661,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_frequency]:C(model_short, Treatment('deepseek-flash'))[T.ministral-3b]",0.1498679724621891,0.3454944982869912,0.6644495327555591,0.43377817361855237,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.structural]:C(model_short, Treatment('deepseek-flash'))[T.nemotron-super]",0.0007887380992079554,0.34588987882914723,0.998180572936652,0.0022803156365195456,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_cochange]:C(model_short, Treatment('deepseek-flash'))[T.nemotron-super]",-0.1802521269240131,0.34680826323739417,0.6032407831063638,-0.5197457674202777,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_frequency]:C(model_short, Treatment('deepseek-flash'))[T.nemotron-super]",0.11997049026844199,0.3455475666567794,0.7284489512601799,0.34718950976611734,"reduced model (2-way max), size-centered"
success,log_size_c,-0.07719561367793566,0.08301723017392615,0.35243601566199556,-0.92987459972112,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.structural]:log_size_c",-0.02027929147117693,0.08882132057078006,0.8194009120105915,-0.2283155816740727,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_cochange]:log_size_c",0.013309887095023799,0.08897744321596412,0.8810903030248987,0.14958720563276165,"reduced model (2-way max), size-centered"
success,"C(map_condition, Treatment('baseline'))[T.temporal_frequency]:log_size_c",0.012735907093359393,0.08876077997413417,0.8859065645781127,0.14348575009222284,"reduced model (2-way max), size-centered"
success,"log_size_c:C(model_short, Treatment('deepseek-flash'))[T.gpt-oss-120b]",0.20371843464745099,0.08888338244121831,0.02190712207050786,2.291974371949415,"reduced model (2-way max), size-centered"
success,"log_size_c:C(model_short, Treatment('deepseek-flash'))[T.ministral-3b]",0.08913177262643593,0.08878728493978592,0.31543649564708154,1.0038799213973446,"reduced model (2-way max), size-centered"
success,"log_size_c:C(model_short, Treatment('deepseek-flash'))[T.nemotron-super]",0.14762086525000273,0.0887930781142315,0.09640720966286882,1.6625267237620687,"reduced model (2-way max), size-centered"
