comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural_vs_baseline,540,114,0.0,2879.5,0.25915343632755905,0.12143401983218917,0.30201430815735214
temporal_frequency_vs_baseline,540,104,0.0,2288.5,0.15100715407867607,0.16172161172161173,0.30201430815735214
temporal_cochange_vs_baseline,540,115,0.0,2635.5,0.05032750448708875,0.20974512743628185,0.15098251346126626
