homeassistant/components/group/__init__.py  [46 edits, last: 2020-09-03]
homeassistant/components/hue/__init__.py  [46 edits, last: 2020-09-08]
homeassistant/components/remote/__init__.py  [46 edits, last: 2020-09-23]
homeassistant/components/zha/core/channels/__init__.py  [46 edits, last: 2020-06-12]
homeassistant/helpers/condition.py  [46 edits, last: 2020-09-13]
homeassistant/components/auth/__init__.py  [45 edits, last: 2020-08-11]
homeassistant/components/google_assistant/http.py  [45 edits, last: 2020-09-15]
homeassistant/components/upnp/__init__.py  [45 edits, last: 2020-08-28]
homeassistant/components/vizio/media_player.py  [45 edits, last: 2020-09-17]
homeassistant/components/wink/__init__.py  [45 edits, last: 2020-05-30]
homeassistant/components/zha/core/registries.py  [45 edits, last: 2020-08-29]
homeassistant/util/color.py  [45 edits, last: 2020-07-14]
homeassistant/data_entry_flow.py  [44 edits, last: 2020-08-27]
homeassistant/components/alexa/handlers.py  [44 edits, last: 2020-09-21]
homeassistant/components/rfxtrx/__init__.py  [44 edits, last: 2020-09-05]
homeassistant/util/package.py  [44 edits, last: 2020-06-17]
homeassistant/components/homematicip_cloud/binary_sensor.py  [43 edits, last: 2020-09-19]
homeassistant/components/homematicip_cloud/sensor.py  [43 edits, last: 2020-09-23]
homeassistant/components/hue/light.py  [43 edits, last: 2020-08-30]
homeassistant/components/mobile_app/const.py  [43 edits, last: 2020-06-15]
homeassistant/components/zwave/const.py  [43 edits, last: 2019-08-15]
homeassistant/components/history/__init__.py  [42 edits, last: 2020-08-27]
homeassistant/components/plex/__init__.py  [42 edits, last: 2020-09-03]
homeassistant/components/rainmachine/__init__.py  [42 edits, last: 2020-08-28]
homeassistant/components/roku/media_player.py  [41 edits, last: 2020-09-09]
homeassistant/components/unifi/switch.py  [41 edits, last: 2020-05-20]
homeassistant/components/evohome/climate.py  [40 edits, last: 2020-07-27]
homeassistant/components/google_assistant/helpers.py  [40 edits, last: 2020-08-27]
homeassistant/components/http/view.py  [40 edits, last: 2020-08-28]
homeassistant/components/person/__init__.py  [40 edits, last: 2020-08-19]
homeassistant/components/scene/__init__.py  [40 edits, last: 2020-04-20]
homeassistant/components/homekit/type_lights.py  [39 edits, last: 2020-09-15]
homeassistant/components/nest/__init__.py  [39 edits, last: 2020-07-05]
homeassistant/components/recorder/models.py  [39 edits, last: 2020-08-21]
homeassistant/util/location.py  [39 edits, last: 2020-05-09]
homeassistant/components/cloud/const.py  [38 edits, last: 2020-08-28]
homeassistant/components/vacuum/__init__.py  [37 edits, last: 2020-05-25]
homeassistant/helpers/aiohttp_client.py  [37 edits, last: 2020-08-27]
homeassistant/components/ecobee/climate.py  [36 edits, last: 2020-08-11]
homeassistant/components/huawei_lte/__init__.py  [36 edits, last: 2020-08-30]
homeassistant/components/mqtt/climate.py  [36 edits, last: 2020-09-02]
homeassistant/components/script/__init__.py  [36 edits, last: 2020-09-11]
homeassistant/components/unifi/controller.py  [36 edits, last: 2020-09-18]
homeassistant/helpers/restore_state.py  [36 edits, last: 2020-08-12]
homeassistant/util/logging.py  [36 edits, last: 2020-08-29]
homeassistant/components/cloud/client.py  [35 edits, last: 2020-06-15]
homeassistant/components/deconz/const.py  [35 edits, last: 2020-09-15]
homeassistant/components/deconz/sensor.py  [35 edits, last: 2020-09-23]
homeassistant/components/homekit_controller/config_flow.py  [35 edits, last: 2020-09-13]
homeassistant/components/hue/bridge.py  [35 edits, last: 2020-08-28]
homeassistant/components/zha/core/channels/general.py  [35 edits, last: 2020-04-05]
homeassistant/helpers/__init__.py  [35 edits, last: 2020-07-06]
homeassistant/helpers/discovery.py  [35 edits, last: 2020-06-09]
homeassistant/components/config/config_entries.py  [34 edits, last: 2020-08-26]
homeassistant/components/evohome/__init__.py  [34 edits, last: 2020-07-27]
homeassistant/components/http/ban.py  [34 edits, last: 2020-08-27]
homeassistant/components/smartthings/__init__.py  [34 edits, last: 2020-09-15]
homeassistant/components/tado/climate.py  [34 edits, last: 2020-08-27]
homeassistant/components/yeelight/__init__.py  [34 edits, last: 2020-09-02]
homeassistant/auth/auth_store.py  [33 edits, last: 2019-12-09]
homeassistant/components/daikin/__init__.py  [33 edits, last: 2020-08-28]
homeassistant/components/darksky/sensor.py  [33 edits, last: 2020-09-22]
homeassistant/components/google_assistant/__init__.py  [33 edits, last: 2020-09-05]
homeassistant/components/hassio/handler.py  [33 edits, last: 2020-08-12]
homeassistant/components/homematicip_cloud/__init__.py  [33 edits, last: 2020-08-26]
homeassistant/components/hue/config_flow.py  [33 edits, last: 2020-08-08]
homeassistant/components/recorder/migration.py  [33 edits, last: 2020-08-05]
homeassistant/components/webostv/media_player.py  [33 edits, last: 2020-09-22]
homeassistant/components/harmony/remote.py  [32 edits, last: 2020-08-27]
homeassistant/components/homekit_controller/connection.py  [32 edits, last: 2020-09-11]
homeassistant/components/image_processing/__init__.py  [32 edits, last: 2020-01-29]
homeassistant/components/neato/vacuum.py  [32 edits, last: 2020-07-22]
homeassistant/components/ps4/media_player.py  [32 edits, last: 2020-07-14]
homeassistant/components/rfxtrx/sensor.py  [32 edits, last: 2020-08-27]
