pandas/core/frame.py  [2322 edits, last: 2020-12-07]
pandas/core/series.py  [1478 edits, last: 2020-12-07]
pandas/core/generic.py  [1327 edits, last: 2020-12-07]
pandas/core/index.py  [750 edits, last: 2020-09-08]
pandas/io/parsers.py  [662 edits, last: 2020-12-04]
pandas/io/pytables.py  [625 edits, last: 2020-12-04]
pandas/core/common.py  [620 edits, last: 2020-11-25]
pandas/core/indexes/base.py  [591 edits, last: 2020-12-07]
pandas/core/indexing.py  [514 edits, last: 2020-12-02]
pandas/util/testing.py  [481 edits, last: 2020-01-06]
pandas/core/indexes/datetimes.py  [348 edits, last: 2020-11-28]
pandas/tests/test_multilevel.py  [345 edits, last: 2020-11-23]
pandas/core/base.py  [313 edits, last: 2020-11-28]
pandas/core/indexes/multi.py  [310 edits, last: 2020-12-07]
pandas/core/algorithms.py  [294 edits, last: 2020-12-04]
pandas/core/internals/blocks.py  [294 edits, last: 2020-12-02]
pandas/core/arrays/categorical.py  [286 edits, last: 2020-11-29]
pandas/core/indexes/datetimelike.py  [276 edits, last: 2020-12-04]
pandas/tseries/offsets.py  [268 edits, last: 2020-05-27]
pandas/core/arrays/datetimelike.py  [255 edits, last: 2020-12-07]
pandas/tests/indexes/test_base.py  [243 edits, last: 2020-12-04]
pandas/core/indexes/period.py  [238 edits, last: 2020-12-07]
pandas/core/arrays/datetimes.py  [233 edits, last: 2020-12-07]
pandas/core/groupby/generic.py  [230 edits, last: 2020-12-04]
pandas/core/groupby/groupby.py  [227 edits, last: 2020-12-04]
pandas/core/indexes/interval.py  [226 edits, last: 2020-12-07]
pandas/core/nanops.py  [214 edits, last: 2020-11-29]
pandas/core/indexes/timedeltas.py  [212 edits, last: 2020-11-26]
pandas/io/sql.py  [212 edits, last: 2020-11-26]
pandas/core/internals/managers.py  [206 edits, last: 2020-12-02]
pandas/tests/test_strings.py  [203 edits, last: 2020-11-01]
pandas/io/stata.py  [200 edits, last: 2020-11-28]
pandas/tests/test_algos.py  [197 edits, last: 2020-12-04]
pandas/core/indexes/category.py  [191 edits, last: 2020-12-04]
pandas/tseries/frequencies.py  [185 edits, last: 2020-11-12]
pandas/tests/frame/test_constructors.py  [184 edits, last: 2020-12-01]
pandas/io/formats/format.py  [181 edits, last: 2020-11-23]
pandas/tests/groupby/test_groupby.py  [171 edits, last: 2020-11-28]
pandas/core/dtypes/cast.py  [167 edits, last: 2020-12-07]
pandas/core/arrays/period.py  [162 edits, last: 2020-12-07]
pandas/tests/test_common.py  [155 edits, last: 2020-11-13]
pandas/__init__.py  [147 edits, last: 2020-11-23]
pandas/plotting/_core.py  [146 edits, last: 2020-10-14]
pandas/io/common.py  [145 edits, last: 2020-12-01]
pandas/core/reshape/merge.py  [143 edits, last: 2020-12-01]
pandas/tests/series/test_constructors.py  [143 edits, last: 2020-11-26]
pandas/conftest.py  [139 edits, last: 2020-12-02]
pandas/core/arrays/timedeltas.py  [138 edits, last: 2020-12-07]
pandas/tests/indexes/common.py  [138 edits, last: 2020-12-03]
pandas/core/resample.py  [137 edits, last: 2020-11-28]
pandas/core/dtypes/dtypes.py  [130 edits, last: 2020-12-07]
pandas/core/groupby/ops.py  [125 edits, last: 2020-12-04]
pandas/core/indexes/range.py  [125 edits, last: 2020-12-04]
pandas/tests/indexing/test_indexing.py  [122 edits, last: 2020-11-26]
pandas/core/config_init.py  [118 edits, last: 2020-10-12]
pandas/core/arrays/base.py  [118 edits, last: 2020-12-07]
pandas/io/html.py  [114 edits, last: 2020-12-04]
pandas/tests/io/formats/test_format.py  [114 edits, last: 2020-12-07]
pandas/core/api.py  [109 edits, last: 2020-09-30]
pandas/core/dtypes/common.py  [109 edits, last: 2020-11-26]
pandas/core/arrays/integer.py  [108 edits, last: 2020-12-04]
pandas/core/ops/__init__.py  [108 edits, last: 2020-11-29]
pandas/tests/indexes/test_numeric.py  [108 edits, last: 2020-11-26]
pandas/tests/io/json/test_pandas.py  [107 edits, last: 2020-12-02]
pandas/tests/series/test_missing.py  [106 edits, last: 2020-10-25]
pandas/core/window/rolling.py  [104 edits, last: 2020-12-01]
pandas/core/indexes/numeric.py  [103 edits, last: 2020-12-04]
pandas/core/tools/datetimes.py  [103 edits, last: 2020-10-14]
pandas/tests/indexing/test_loc.py  [103 edits, last: 2020-12-05]
pandas/compat/__init__.py  [102 edits, last: 2020-11-02]
pandas/core/arrays/interval.py  [102 edits, last: 2020-12-03]
pandas/tests/dtypes/test_inference.py  [99 edits, last: 2020-12-07]
pandas/io/formats/style.py  [97 edits, last: 2020-11-28]
pandas/tests/frame/test_alter_axes.py  [95 edits, last: 2020-11-13]
pandas/core/reshape/reshape.py  [93 edits, last: 2020-11-26]
pandas/tests/series/test_api.py  [92 edits, last: 2020-11-07]
pandas/tests/plotting/test_datetimelike.py  [90 edits, last: 2020-11-28]
pandas/tests/tseries/offsets/test_offsets.py  [89 edits, last: 2020-11-28]
pandas/tests/indexes/datetimes/test_ops.py  [88 edits, last: 2020-11-26]
pandas/tests/internals/test_internals.py  [88 edits, last: 2020-11-23]
pandas/tests/arithmetic/test_datetime64.py  [87 edits, last: 2020-11-26]
pandas/tests/frame/test_api.py  [87 edits, last: 2020-11-06]
pandas/core/groupby/grouper.py  [86 edits, last: 2020-12-04]
pandas/tests/api/test_api.py  [86 edits, last: 2020-09-30]
pandas/tests/indexes/period/test_period.py  [86 edits, last: 2020-10-28]
pandas/tests/reshape/test_pivot.py  [86 edits, last: 2020-11-26]
pandas/tests/io/test_sql.py  [85 edits, last: 2020-11-26]
pandas/core/reshape/concat.py  [84 edits, last: 2020-11-24]
pandas/core/dtypes/concat.py  [83 edits, last: 2020-11-29]
pandas/tests/test_nanops.py  [83 edits, last: 2020-11-08]
pandas/tests/arithmetic/test_timedelta64.py  [83 edits, last: 2020-11-28]
pandas/tests/series/test_dtypes.py  [83 edits, last: 2020-11-18]
pandas/io/excel/_base.py  [81 edits, last: 2020-12-01]
