thefuck/main.py  [69 edits, last: 2016-08-14]
thefuck/utils.py  [58 edits, last: 2016-08-14]
thefuck/rules/sudo.py  [35 edits, last: 2016-02-16]
thefuck/types.py  [34 edits, last: 2016-08-14]
thefuck/conf.py  [30 edits, last: 2016-08-14]
thefuck/rules/no_command.py  [29 edits, last: 2016-08-13]
thefuck/corrector.py  [20 edits, last: 2016-08-14]
thefuck/ui.py  [19 edits, last: 2016-06-25]
thefuck/logs.py  [15 edits, last: 2015-11-01]
thefuck/rules/cd_correction.py  [14 edits, last: 2015-11-25]
thefuck/rules/pacman.py  [13 edits, last: 2016-01-29]
thefuck/rules/dirty_unzip.py  [12 edits, last: 2016-01-29]
thefuck/rules/fix_file.py  [12 edits, last: 2016-01-29]
thefuck/rules/brew_unknown_command.py  [11 edits, last: 2016-06-29]
thefuck/rules/dirty_untar.py  [10 edits, last: 2016-01-29]
thefuck/rules/git_add.py  [10 edits, last: 2016-03-18]
thefuck/rules/git_checkout.py  [10 edits, last: 2016-01-29]
thefuck/rules/git_not_command.py  [10 edits, last: 2015-09-07]
thefuck/rules/git_push_pull.py  [10 edits, last: 2016-07-07]
thefuck/rules/rm_root.py  [10 edits, last: 2015-10-29]
thefuck/rules/apt_get.py  [9 edits, last: 2016-08-13]
thefuck/rules/git_branch_list.py  [9 edits, last: 2016-01-29]
thefuck/rules/git_push_force.py  [9 edits, last: 2015-10-30]
thefuck/rules/git_stash.py  [9 edits, last: 2016-01-29]
thefuck/rules/has_exists_script.py  [9 edits, last: 2015-10-29]
thefuck/rules/history.py  [9 edits, last: 2016-03-13]
thefuck/rules/ls_lah.py  [9 edits, last: 2015-10-29]
thefuck/rules/open.py  [9 edits, last: 2016-08-12]
thefuck/rules/vagrant_up.py  [9 edits, last: 2016-01-29]
thefuck/shells/fish.py  [9 edits, last: 2016-06-04]
thefuck/rules/brew_install.py  [8 edits, last: 2016-02-06]
thefuck/rules/cargo_no_command.py  [8 edits, last: 2016-06-28]
thefuck/rules/git_diff_staged.py  [8 edits, last: 2015-09-07]
thefuck/rules/git_pull.py  [8 edits, last: 2016-01-29]
thefuck/rules/python_command.py  [8 edits, last: 2015-10-29]
thefuck/rules/switch_lang.py  [8 edits, last: 2016-01-29]
thefuck/rules/tmux.py  [8 edits, last: 2015-11-25]
