scrapy/core/downloader/handlers/http2.py  [15 edits, last: 2023-01-25]
scrapy/dupefilters.py  [14 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/file.py  [14 edits, last: 2022-10-17]
scrapy/core/http2/agent.py  [14 edits, last: 2023-01-25]
scrapy/http/request/json_request.py  [14 edits, last: 2022-11-29]
scrapy/utils/display.py  [14 edits, last: 2023-01-25]
scrapy/utils/ftp.py  [14 edits, last: 2023-01-25]
scrapy/utils/sitemap.py  [14 edits, last: 2022-11-29]
scrapy/signalmanager.py  [13 edits, last: 2023-01-25]
scrapy/commands/bench.py  [13 edits, last: 2023-01-25]
scrapy/downloadermiddlewares/httpcache.py  [13 edits, last: 2023-01-25]
scrapy/loader/processors.py  [13 edits, last: 2023-01-25]
scrapy/spiders/feed.py  [13 edits, last: 2023-01-25]
scrapy/utils/ssl.py  [13 edits, last: 2023-01-25]
scrapy/utils/template.py  [13 edits, last: 2023-01-25]
scrapy/robotstxt.py  [12 edits, last: 2023-01-25]
scrapy/commands/view.py  [12 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/http10.py  [12 edits, last: 2022-11-29]
scrapy/http/request/rpc.py  [12 edits, last: 2023-01-25]
scrapy/utils/curl.py  [12 edits, last: 2023-01-25]
scrapy/downloadermiddlewares/ajaxcrawl.py  [11 edits, last: 2023-01-25]
scrapy/http/response/html.py  [11 edits, last: 2019-11-20]
scrapy/spidermiddlewares/depth.py  [11 edits, last: 2022-11-29]
scrapy/utils/testproc.py  [11 edits, last: 2023-01-25]
scrapy/interfaces.py  [10 edits, last: 2022-11-29]
scrapy/commands/edit.py  [10 edits, last: 2023-01-25]
scrapy/extensions/throttle.py  [10 edits, last: 2023-01-25]
scrapy/http/response/xml.py  [10 edits, last: 2019-11-20]
scrapy/spidermiddlewares/urllength.py  [10 edits, last: 2023-01-25]
scrapy/utils/asyncgen.py  [10 edits, last: 2022-11-29]
scrapy/extension.py  [9 edits, last: 2022-11-29]
scrapy/downloadermiddlewares/decompression.py  [9 edits, last: 2023-01-25]
scrapy/utils/benchserver.py  [9 edits, last: 2023-01-25]
scrapy/utils/boto.py  [9 edits, last: 2022-11-29]
scrapy/extensions/spiderstate.py  [8 edits, last: 2022-11-29]
scrapy/pipelines/__init__.py  [8 edits, last: 2022-11-29]
scrapy/spidermiddlewares/httperror.py  [8 edits, last: 2022-11-29]
scrapy/statscollectors.py  [7 edits, last: 2023-01-25]
scrapy/downloadermiddlewares/stats.py  [7 edits, last: 2022-11-29]
scrapy/extensions/closespider.py  [7 edits, last: 2022-11-29]
scrapy/extensions/statsmailer.py  [7 edits, last: 2023-01-25]
scrapy/utils/httpobj.py  [7 edits, last: 2023-01-25]
scrapy/utils/ossignal.py  [7 edits, last: 2023-01-25]
scrapy/core/downloader/handlers/datauri.py  [6 edits, last: 2022-11-29]
scrapy/extensions/corestats.py  [6 edits, last: 2022-11-29]
scrapy/spiders/init.py  [6 edits, last: 2022-11-29]
