modules/ui_checkpoint_merger.py  [4 edits, last: 2023-08-04]
modules/masking.py  [3 edits, last: 2023-05-11]
modules/sd_hijack_clip_old.py  [3 edits, last: 2023-06-02]
modules/sd_models_types.py  [3 edits, last: 2023-11-05]
modules/shared_gradio_themes.py  [3 edits, last: 2023-08-15]
modules/shared_init.py  [3 edits, last: 2023-08-09]
modules/shared_state.py  [3 edits, last: 2023-09-13]
modules/xlmr.py  [3 edits, last: 2023-05-11]
modules/xpu_specific.py  [3 edits, last: 2023-12-02]
modules/deepbooru_model.py  [2 edits, last: 2023-01-25]
modules/gitpython_hack.py  [2 edits, last: 2023-08-29]
modules/initialize.py  [2 edits, last: 2023-09-14]
modules/restart.py  [2 edits, last: 2023-09-30]
modules/rng_philox.py  [2 edits, last: 2023-08-03]
modules/scripts_auto_postprocessing.py  [2 edits, last: 2023-05-10]
modules/sd_hijack_checkpoint.py  [2 edits, last: 2023-01-18]
modules/sd_hijack_utils.py  [2 edits, last: 2023-01-26]
modules/sd_hijack_xlmr.py  [2 edits, last: 2023-05-10]
modules/ui_extra_networks_checkpoints_user_metadata.py  [2 edits, last: 2023-08-07]
modules/ui_gradio_extensions.py  [2 edits, last: 2023-09-13]
modules/ui_toprow.py  [2 edits, last: 2023-12-02]
modules/xlmr_m18.py  [2 edits, last: 2023-10-01]
modules/models/diffusion/uni_pc/__init__.py  [2 edits, last: 2023-05-10]
modules/face_restoration.py  [1 edits, last: 2022-09-07]
modules/fifo_lock.py  [1 edits, last: 2023-08-21]
modules/patches.py  [1 edits, last: 2023-08-15]
modules/shared_total_tqdm.py  [1 edits, last: 2023-08-09]
modules/util.py  [1 edits, last: 2023-08-09]
