homeassistant/const.py  [321 edits, last: 2017-04-24]
homeassistant/components/frontend/version.py  [320 edits, last: 2017-04-19]
homeassistant/bootstrap.py  [175 edits, last: 2017-04-19]
homeassistant/core.py  [127 edits, last: 2017-04-23]
homeassistant/__init__.py  [121 edits, last: 2016-03-08]
homeassistant/components/device_tracker/__init__.py  [114 edits, last: 2017-04-23]
homeassistant/components/light/__init__.py  [100 edits, last: 2017-03-16]
homeassistant/components/wink.py  [94 edits, last: 2017-03-28]
homeassistant/components/mqtt/__init__.py  [94 edits, last: 2017-04-24]
homeassistant/components/media_player/__init__.py  [91 edits, last: 2017-03-30]
homeassistant/components/switch/wemo.py  [91 edits, last: 2017-04-24]
homeassistant/__main__.py  [89 edits, last: 2017-04-05]
homeassistant/components/discovery.py  [88 edits, last: 2017-04-20]
homeassistant/remote.py  [84 edits, last: 2017-04-10]
homeassistant/components/group.py  [81 edits, last: 2017-03-07]
homeassistant/components/light/hue.py  [81 edits, last: 2017-04-11]
homeassistant/components/media_player/sonos.py  [79 edits, last: 2017-04-12]
homeassistant/components/demo.py  [74 edits, last: 2017-04-16]
homeassistant/helpers/entity.py  [73 edits, last: 2017-03-14]
homeassistant/components/automation/__init__.py  [67 edits, last: 2017-04-16]
homeassistant/components/http/__init__.py  [67 edits, last: 2017-04-23]
homeassistant/components/zwave/__init__.py  [66 edits, last: 2017-04-16]
homeassistant/components/media_player/cast.py  [63 edits, last: 2017-04-11]
homeassistant/components/media_player/kodi.py  [63 edits, last: 2017-04-23]
homeassistant/components/rfxtrx.py  [62 edits, last: 2017-04-24]
homeassistant/components/sensor/zwave.py  [62 edits, last: 2017-03-23]
homeassistant/components/homematic.py  [59 edits, last: 2017-04-23]
homeassistant/components/sun.py  [59 edits, last: 2017-04-06]
homeassistant/components/sensor/vera.py  [59 edits, last: 2017-04-25]
homeassistant/components/sensor/yr.py  [59 edits, last: 2017-03-30]
homeassistant/components/switch/vera.py  [59 edits, last: 2017-04-04]
homeassistant/helpers/entity_component.py  [59 edits, last: 2017-04-11]
homeassistant/components/api.py  [58 edits, last: 2017-04-10]
homeassistant/components/sensor/mysensors.py  [58 edits, last: 2017-02-05]
homeassistant/components/switch/__init__.py  [58 edits, last: 2017-03-19]
homeassistant/components/frontend/__init__.py  [57 edits, last: 2017-03-30]
homeassistant/config.py  [56 edits, last: 2017-04-23]
homeassistant/components/logbook.py  [56 edits, last: 2017-02-26]
homeassistant/components/mysensors.py  [56 edits, last: 2017-04-16]
homeassistant/components/light/wink.py  [56 edits, last: 2017-03-11]
homeassistant/helpers/config_validation.py  [55 edits, last: 2017-04-23]
homeassistant/components/device_tracker/owntracks.py  [54 edits, last: 2017-03-03]
homeassistant/components/light/zwave.py  [54 edits, last: 2017-04-16]
homeassistant/components/sensor/systemmonitor.py  [54 edits, last: 2017-04-11]
homeassistant/components/light/limitlessled.py  [53 edits, last: 2017-03-25]
homeassistant/components/sensor/wink.py  [53 edits, last: 2017-02-01]
homeassistant/components/wemo.py  [52 edits, last: 2017-04-24]
homeassistant/components/recorder/__init__.py  [52 edits, last: 2017-04-24]
homeassistant/components/sensor/wunderground.py  [52 edits, last: 2017-03-01]
homeassistant/components/light/vera.py  [51 edits, last: 2017-04-04]
homeassistant/components/switch/tellstick.py  [51 edits, last: 2017-01-03]
homeassistant/components/camera/__init__.py  [50 edits, last: 2017-03-31]
homeassistant/components/media_player/squeezebox.py  [50 edits, last: 2017-04-19]
homeassistant/components/switch/wink.py  [50 edits, last: 2017-03-25]
homeassistant/components/verisure.py  [48 edits, last: 2016-12-05]
homeassistant/components/climate/zwave.py  [48 edits, last: 2017-04-24]
homeassistant/components/device_sun_light_trigger.py  [47 edits, last: 2017-02-09]
homeassistant/components/sensor/rfxtrx.py  [47 edits, last: 2017-04-23]
homeassistant/helpers/state.py  [46 edits, last: 2017-03-20]
homeassistant/components/script.py  [45 edits, last: 2017-03-07]
