src/transformers/utils/dummy_tokenizers_objects.py  [18 edits, last: 2021-08-30]
src/transformers/modeling_outputs.py  [17 edits, last: 2021-08-30]
src/transformers/commands/convert.py  [17 edits, last: 2021-07-24]
src/transformers/data/datasets/glue.py  [17 edits, last: 2021-08-19]
src/transformers/models/distilbert/modeling_distilbert.py  [17 edits, last: 2021-09-01]
src/transformers/models/flaubert/modeling_tf_flaubert.py  [17 edits, last: 2021-06-14]
src/transformers/models/funnel/modeling_tf_funnel.py  [17 edits, last: 2021-04-26]
src/transformers/models/roberta/modeling_flax_roberta.py  [17 edits, last: 2021-08-23]
src/transformers/models/auto/__init__.py  [16 edits, last: 2021-09-01]
src/transformers/models/lxmert/modeling_tf_lxmert.py  [16 edits, last: 2021-03-31]
src/transformers/models/reformer/modeling_reformer.py  [16 edits, last: 2021-08-06]
src/transformers/pipelines/base.py  [16 edits, last: 2021-08-26]
src/transformers/models/bert_generation/modeling_bert_generation.py  [15 edits, last: 2021-08-31]
src/transformers/models/ctrl/modeling_tf_ctrl.py  [15 edits, last: 2021-03-31]
src/transformers/models/distilbert/modeling_tf_distilbert.py  [15 edits, last: 2021-04-26]
src/transformers/models/gpt2/modeling_tf_gpt2.py  [15 edits, last: 2021-04-26]
src/transformers/models/m2m_100/modeling_m2m_100.py  [15 edits, last: 2021-07-21]
src/transformers/models/speech_to_text/modeling_speech_to_text.py  [15 edits, last: 2021-09-01]
src/transformers/models/transfo_xl/modeling_tf_transfo_xl.py  [15 edits, last: 2021-03-31]
src/transformers/models/xlm/modeling_xlm.py  [15 edits, last: 2021-06-14]
src/transformers/models/xlnet/modeling_tf_xlnet.py  [15 edits, last: 2021-06-23]
src/transformers/models/xlnet/modeling_xlnet.py  [15 edits, last: 2021-08-03]
src/transformers/data/metrics/__init__.py  [14 edits, last: 2021-04-21]
src/transformers/models/convbert/modeling_convbert.py  [14 edits, last: 2021-09-01]
src/transformers/models/mbart/__init__.py  [14 edits, last: 2021-08-09]
src/transformers/models/mbart/tokenization_mbart_fast.py  [14 edits, last: 2021-08-27]
src/transformers/models/openai/modeling_tf_openai.py  [14 edits, last: 2021-04-26]
src/transformers/models/squeezebert/modeling_squeezebert.py  [14 edits, last: 2021-08-03]
src/transformers/data/metrics/squad_metrics.py  [13 edits, last: 2021-03-31]
src/transformers/models/encoder_decoder/modeling_encoder_decoder.py  [13 edits, last: 2021-09-01]
src/transformers/models/gpt_neo/modeling_gpt_neo.py  [13 edits, last: 2021-08-05]
src/transformers/models/t5/tokenization_t5.py  [13 edits, last: 2021-05-13]
src/transformers/models/tapas/modeling_tapas.py  [13 edits, last: 2021-08-26]
src/transformers/models/tapas/tokenization_tapas.py  [13 edits, last: 2021-08-23]
src/transformers/modeling_tf_outputs.py  [12 edits, last: 2021-04-26]
src/transformers/data/datasets/squad.py  [12 edits, last: 2021-08-19]
src/transformers/models/ctrl/modeling_ctrl.py  [12 edits, last: 2021-06-14]
src/transformers/models/deberta/modeling_deberta.py  [12 edits, last: 2021-08-03]
src/transformers/models/deberta_v2/modeling_deberta_v2.py  [12 edits, last: 2021-08-23]
src/transformers/models/dpr/modeling_tf_dpr.py  [12 edits, last: 2021-02-02]
src/transformers/models/funnel/modeling_funnel.py  [12 edits, last: 2021-07-21]
src/transformers/models/ibert/modeling_ibert.py  [12 edits, last: 2021-08-31]
src/transformers/models/mbart/tokenization_mbart.py  [12 edits, last: 2021-08-27]
src/transformers/models/xlm_prophetnet/tokenization_xlm_prophetnet.py  [12 edits, last: 2021-07-08]
src/transformers/models/xlm_roberta/tokenization_xlm_roberta.py  [12 edits, last: 2021-07-08]
src/transformers/utils/dummy_sentencepiece_objects.py  [12 edits, last: 2021-08-02]
src/transformers/utils/logging.py  [12 edits, last: 2021-06-21]
src/transformers/deepspeed.py  [11 edits, last: 2021-09-01]
src/transformers/commands/train.py  [11 edits, last: 2021-03-31]
src/transformers/models/auto/auto_factory.py  [11 edits, last: 2021-08-26]
src/transformers/models/bart/__init__.py  [11 edits, last: 2021-07-08]
src/transformers/models/convbert/modeling_tf_convbert.py  [11 edits, last: 2021-07-26]
src/transformers/models/marian/tokenization_marian.py  [11 edits, last: 2021-05-13]
