repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
gpt-engineer,9,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1111,-0.1667,0.3741,0.0556,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.1111,0.0555,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.111; deepseek/deepseek-v4-flash=-0.667; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.111; mistral/ministral-3b-latest=+0.000
thefuck,10,all_tools,all_tools,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1167,-0.0833,0.1232,0.1,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.0,-0.1,0,3,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.267; deepseek/deepseek-v4-flash=-0.033; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.167
yt-dlp,45,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.125,-0.0833,0.1145,0.1389,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,-0.1389,0,3,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=-0.222; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=-0.056
requests,13,all_tools,all_tools,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.125,-0.0833,0.25,0.0,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,0.0,0,1,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.500
scrapy,26,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1389,-0.1667,0.3557,0.1111,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.1111,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.111; mistral/ministral-3b-latest=-0.667
pandas,38,structural,structural,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1528,-0.125,0.1232,0.1667,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.0,-0.1667,0,3,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.278; deepseek/deepseek-v4-flash=-0.111; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.222
core,20,temporal_frequency,temporal_frequency,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1667,-0.1667,0.1925,0.1667,deepseek/deepseek-v4-flash,0.0,-0.1667,0,2,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.333
requests,7,temporal_cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1667,-0.1667,0.1925,0.1667,deepseek/deepseek-v4-flash,0.0,-0.1667,0,2,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.333
flask,3,all_tools,all_tools,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1667,-0.1667,0.5774,0.3333,deepseek/deepseek-v4-flash,0.3333,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-1.000
localstack,2,temporal_cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.1945,-0.25,0.2291,0.1667,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.0,-0.1667,0,2,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=-0.444; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.333
yt-dlp,45,temporal_cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.2222,-0.1667,0.1815,0.2222,mistral/ministral-3b-latest,0.0,-0.2222,0,3,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.222; deepseek/deepseek-v4-flash=-0.444; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.222; mistral/ministral-3b-latest=+0.000
core,20,all_tools,all_tools,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.25,-0.25,0.3191,0.1667,deepseek/deepseek-v4-flash,0.0,-0.1667,0,2,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=-0.667
gpt-engineer,9,temporal_cochange,temporal_cochange,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",-0.3472,-0.4167,0.25,0.4167,mistral/ministral-3b-latest,0.0,-0.4167,0,3,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=-0.333; deepseek/deepseek-v4-flash=-0.500; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=-0.556; mistral/ministral-3b-latest=+0.000
