model,condition,voluntary_n_trials,voluntary_pct_used_tool,voluntary_mean_calls,voluntary_mean_f1,required_n_trials,required_pct_used_tool,required_mean_calls,required_mean_f1,required_pct_had_rejection,required_mean_rejections,required_malformed_near_miss_trials
mistral/ministral-3b-latest,structural,135,85.2,1.56,0.532,135,99.3,2.72,0.546,0.7,0.01,0
mistral/ministral-3b-latest,temporal_frequency,135,23.7,0.34,0.584,135,100.0,1.55,0.611,14.8,0.15,0
mistral/ministral-3b-latest,temporal_cochange,135,30.4,0.35,0.558,135,99.3,1.18,0.579,12.6,0.13,0
mistral/ministral-3b-latest,all_tools,135,82.2,1.84,0.491,135,100.0,3.29,0.566,2.2,0.02,0
