repo,issue_idx,gt_file,map_type,status,token_offset,total_tokens,pct_through_tokens,file_rank,total_files_listed,pct_through_files
core,16,homeassistant/components/climate/mysensors.py,structural,found,10501,63824,16.5,368,2123,17.3
core,16,homeassistant/components/climate/mysensors.py,frequency,found,6728,30134,22.3,293,1281,22.9
core,16,homeassistant/components/climate/mysensors.py,cochange,found,9870,55458,17.8,203,1170,17.4
core,20,homeassistant/components/notify/html5.py,structural,found,38236,64210,59.5,1171,2216,52.8
core,20,homeassistant/components/notify/html5.py,frequency,found,4229,17694,23.9,187,758,24.7
core,20,homeassistant/components/notify/html5.py,cochange,found,17897,33905,52.8,389,758,51.3
fastapi,9,fastapi/openapi/utils.py,structural,found,2654,6254,42.4,100,178,56.2
fastapi,9,fastapi/openapi/utils.py,frequency,found,82,855,9.6,5,41,12.2
fastapi,9,fastapi/openapi/utils.py,cochange,found,884,1638,54.0,23,41,56.1
fastapi,9,fastapi/routing.py,structural,found,3906,6254,62.5,135,178,75.8
fastapi,9,fastapi/routing.py,frequency,found,21,855,2.5,2,41,4.9
fastapi,9,fastapi/routing.py,cochange,found,1077,1638,65.8,28,41,68.3
fastapi,9,fastapi/applications.py,structural,found,0,6254,0.0,1,178,0.6
fastapi,9,fastapi/applications.py,frequency,found,62,855,7.3,4,41,9.8
fastapi,9,fastapi/applications.py,cochange,found,39,1638,2.4,2,41,4.9
fastapi,17,fastapi/routing.py,structural,found,4202,6810,61.7,131,176,74.4
fastapi,17,fastapi/routing.py,frequency,found,21,879,2.4,2,42,4.8
fastapi,17,fastapi/routing.py,cochange,found,1076,1630,66.0,29,42,69.0
fastapi,20,fastapi/background.py,structural,pruned_out,,6365,,,175,
fastapi,20,fastapi/background.py,frequency,found,495,855,57.9,25,41,61.0
fastapi,20,fastapi/background.py,cochange,found,74,1571,4.7,3,41,7.3
flask,3,src/flask/app.py,structural,found,16,5064,0.3,3,143,2.1
flask,3,src/flask/app.py,frequency,found,0,511,0.0,1,24,4.2
flask,3,src/flask/app.py,cochange,found,79,926,8.5,3,24,12.5
flask,6,src/flask/scaffold.py,structural,found,3419,4841,70.6,103,137,75.2
flask,6,src/flask/scaffold.py,frequency,found,103,440,23.4,6,21,28.6
flask,6,src/flask/scaffold.py,cochange,found,492,799,61.6,14,21,66.7
flask,18,src/flask/logging.py,structural,found,3929,4913,80.0,117,149,78.5
flask,18,src/flask/logging.py,frequency,found,227,419,54.2,12,20,60.0
flask,18,src/flask/logging.py,cochange,found,517,798,64.8,14,20,70.0
flask,18,src/flask/app.py,structural,found,100,4913,2.0,8,149,5.4
flask,18,src/flask/app.py,frequency,found,0,419,0.0,1,20,5.0
flask,18,src/flask/app.py,cochange,found,123,798,15.4,4,20,20.0
gpt-engineer,9,gpt_engineer/core/ai.py,structural,found,1097,3027,36.2,28,107,26.2
gpt-engineer,9,gpt_engineer/core/ai.py,frequency,found,97,814,11.9,5,34,14.7
gpt-engineer,9,gpt_engineer/core/ai.py,cochange,found,483,1738,27.8,10,34,29.4
gpt-engineer,11,gpt_engineer/core/diff.py,structural,found,2067,2961,69.8,66,105,62.9
gpt-engineer,11,gpt_engineer/core/diff.py,frequency,found,168,790,21.3,8,33,24.2
gpt-engineer,11,gpt_engineer/core/diff.py,cochange,found,1159,1684,68.8,23,33,69.7
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,structural,found,188,1920,9.8,7,73,9.6
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,frequency,found,48,699,6.9,3,29,10.3
gpt-engineer,12,gpt_engineer/applications/cli/file_selector.py,cochange,found,272,1520,17.9,6,29,20.7
gpt-engineer,12,gpt_engineer/core/files_dict.py,structural,found,1603,1920,83.5,59,73,80.8
gpt-engineer,12,gpt_engineer/core/files_dict.py,frequency,found,530,699,75.8,23,29,79.3
gpt-engineer,12,gpt_engineer/core/files_dict.py,cochange,found,1159,1520,76.2,23,29,79.3
gpt-engineer,12,gpt_engineer/core/default/steps.py,structural,found,1480,1920,77.1,50,73,68.5
gpt-engineer,12,gpt_engineer/core/default/steps.py,frequency,found,24,699,3.4,2,29,6.9
gpt-engineer,12,gpt_engineer/core/default/steps.py,cochange,found,1107,1520,72.8,22,29,75.9
gpt-engineer,12,gpt_engineer/core/chat_to_files.py,structural,found,1021,1920,53.2,31,73,42.5
gpt-engineer,12,gpt_engineer/core/chat_to_files.py,frequency,found,121,699,17.3,6,29,20.7
gpt-engineer,12,gpt_engineer/core/chat_to_files.py,cochange,found,693,1520,45.6,14,29,48.3
keras,5,keras/engine/saving.py,structural,found,10309,24258,42.5,586,930,63.0
keras,5,keras/engine/saving.py,frequency,found,1324,1798,73.6,61,81,75.3
keras,5,keras/engine/saving.py,cochange,found,1449,3281,44.2,35,81,43.2
keras,9,keras/utils/data_utils.py,structural,found,24840,26143,95.0,919,976,94.2
keras,9,keras/utils/data_utils.py,frequency,found,391,1622,24.1,19,73,26.0
keras,9,keras/utils/data_utils.py,cochange,found,2604,2970,87.7,64,73,87.7
keras,12,keras/utils/data_utils.py,structural,found,20683,21583,95.8,834,877,95.1
keras,12,keras/utils/data_utils.py,frequency,found,916,1455,63.0,43,66,65.2
keras,12,keras/utils/data_utils.py,cochange,found,2321,2646,87.7,58,66,87.9
keras,12,keras/utils/__init__.py,structural,pruned_out,,21583,,,877,
keras,12,keras/utils/__init__.py,frequency,found,1271,1455,87.4,59,66,89.4
keras,12,keras/utils/__init__.py,cochange,found,2238,2646,84.6,56,66,84.8
keras,12,keras/legacy/interfaces.py,structural,found,16882,21583,78.2,709,877,80.8
keras,12,keras/legacy/interfaces.py,frequency,found,391,1455,26.9,19,66,28.8
keras,12,keras/legacy/interfaces.py,cochange,found,1757,2646,66.4,43,66,65.2
keras,12,keras/engine/training.py,structural,found,9714,21583,45.0,575,877,65.6
keras,12,keras/engine/training.py,frequency,found,152,1455,10.4,8,66,12.1
keras,12,keras/engine/training.py,cochange,found,1097,2646,41.5,27,66,40.9
keras,12,keras/models.py,structural,found,17846,21583,82.7,764,877,87.1
keras,12,keras/models.py,frequency,found,21,1455,1.4,2,66,3.0
keras,12,keras/models.py,cochange,found,1942,2646,73.4,48,66,72.7
localstack,2,localstack/services/s3/s3_listener.py,structural,found,23563,40348,58.4,1090,1967,55.4
localstack,2,localstack/services/s3/s3_listener.py,frequency,found,70,4902,1.4,4,209,1.9
localstack,2,localstack/services/s3/s3_listener.py,cochange,found,5985,9460,63.3,131,209,62.7
localstack,9,localstack/services/s3/s3_listener.py,structural,found,9191,20042,45.9,597,1264,47.2
localstack,9,localstack/services/s3/s3_listener.py,frequency,found,65,2635,2.5,4,112,3.6
localstack,9,localstack/services/s3/s3_listener.py,cochange,found,2751,5131,53.6,61,112,54.5
localstack,19,localstack/constants.py,structural,pruned_out,,15602,,,991,
localstack,19,localstack/constants.py,frequency,found,46,2320,2.0,3,99,3.0
localstack,19,localstack/constants.py,cochange,found,75,4525,1.7,3,99,3.0
localstack,19,localstack/utils/persistence.py,structural,found,14990,15602,96.1,947,991,95.6
localstack,19,localstack/utils/persistence.py,frequency,found,684,2320,29.5,31,99,31.3
localstack,19,localstack/utils/persistence.py,cochange,found,4301,4525,95.0,95,99,96.0
localstack,19,localstack/services/ssm/ssm_listener.py,structural,found,8933,15602,57.3,593,991,59.8
localstack,19,localstack/services/ssm/ssm_listener.py,frequency,found,1987,2320,85.6,86,99,86.9
localstack,19,localstack/services/ssm/ssm_listener.py,cochange,found,2962,4525,65.5,66,99,66.7
localstack,19,localstack/plugins.py,structural,found,570,15602,3.7,54,991,5.4
localstack,19,localstack/plugins.py,frequency,found,412,2320,17.8,19,99,19.2
localstack,19,localstack/plugins.py,cochange,found,230,4525,5.1,7,99,7.1
localstack,19,localstack/services/infra.py,structural,found,5967,15602,38.2,393,991,39.7
localstack,19,localstack/services/infra.py,frequency,found,113,2320,4.9,6,99,6.1
localstack,19,localstack/services/infra.py,cochange,found,1814,4525,40.1,41,99,41.4
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,structural,found,8159,15602,52.3,538,991,54.3
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,frequency,found,1109,2320,47.8,49,99,49.5
localstack,19,localstack/services/secretsmanager/secretsmanager_starter.py,cochange,found,2535,4525,56.0,57,99,57.6
localstack,19,localstack/services/s3/s3_listener.py,structural,found,7092,15602,45.5,469,991,47.3
localstack,19,localstack/services/s3/s3_listener.py,frequency,found,65,2320,2.8,4,99,4.0
localstack,19,localstack/services/s3/s3_listener.py,cochange,found,2395,4525,52.9,54,99,54.5
pandas,26,pandas/core/generic.py,structural,found,12931,63996,20.2,427,1703,25.1
pandas,26,pandas/core/generic.py,frequency,found,145,2564,5.7,8,120,6.7
pandas,26,pandas/core/generic.py,cochange,found,1080,4268,25.3,30,120,25.0
pandas,26,pandas/tseries/index.py,structural,found,56588,63996,88.4,1427,1703,83.8
pandas,26,pandas/tseries/index.py,frequency,found,230,2564,9.0,12,120,10.0
pandas,26,pandas/tseries/index.py,cochange,found,3673,4268,86.1,105,120,87.5
pandas,35,pandas/src/generate_code.py,structural,found,49849,68768,72.5,1132,1766,64.1
pandas,35,pandas/src/generate_code.py,frequency,found,780,2589,30.1,38,121,31.4
pandas,35,pandas/src/generate_code.py,cochange,found,2797,4310,64.9,79,121,65.3
pandas,38,pandas/core/reshape/pivot.py,structural,found,48435,68547,70.7,830,1137,73.0
pandas,38,pandas/core/reshape/pivot.py,frequency,found,1430,6759,21.2,65,294,22.1
pandas,38,pandas/core/reshape/pivot.py,cochange,found,7602,12445,61.1,179,294,60.9
pandas,38,pandas/util/_exceptions.py,structural,pruned_out,,68547,,,1137,
pandas,38,pandas/util/_exceptions.py,frequency,found,4529,6759,67.0,200,294,68.0
pandas,38,pandas/util/_exceptions.py,cochange,found,12207,12445,98.1,289,294,98.3
pandas,44,pandas/tseries/index.py,structural,found,42432,48628,87.3,1115,1327,84.0
pandas,44,pandas/tseries/index.py,frequency,found,229,2186,10.5,12,103,11.7
pandas,44,pandas/tseries/index.py,cochange,found,2962,3595,82.4,87,103,84.5
pandas,44,pandas/core/indexing.py,structural,found,13485,48628,27.7,332,1327,25.0
pandas,44,pandas/core/indexing.py,frequency,found,271,2186,12.4,14,103,13.6
pandas,44,pandas/core/indexing.py,cochange,found,661,3595,18.4,20,103,19.4
requests,7,requests/cookies.py,structural,found,523,2570,20.4,23,98,23.5
requests,7,requests/cookies.py,frequency,found,130,262,49.6,8,14,57.1
requests,7,requests/cookies.py,cochange,found,180,419,43.0,7,14,50.0
requests,12,requests/sessions.py,structural,found,1484,2246,66.1,54,91,59.3
requests,12,requests/sessions.py,frequency,found,18,262,6.9,2,14,14.3
requests,12,requests/sessions.py,cochange,found,295,415,71.1,11,14,78.6
requests,12,requests/adapters.py,structural,found,24,2246,1.1,3,91,3.3
requests,12,requests/adapters.py,frequency,found,111,262,42.4,7,14,50.0
requests,12,requests/adapters.py,cochange,found,31,415,7.5,2,14,14.3
requests,12,requests/api.py,structural,found,204,2246,9.1,6,91,6.6
requests,12,requests/api.py,frequency,found,55,262,21.0,4,14,28.6
requests,12,requests/api.py,cochange,found,61,415,14.7,3,14,21.4
requests,13,requests/sessions.py,structural,found,1527,2289,66.7,54,91,59.3
requests,13,requests/sessions.py,frequency,found,18,262,6.9,2,14,14.3
requests,13,requests/sessions.py,cochange,found,294,413,71.2,11,14,78.6
rich,1,rich/console.py,structural,found,2027,13992,14.5,98,359,27.3
rich,1,rich/console.py,frequency,found,0,1447,0.0,1,76,1.3
rich,1,rich/console.py,cochange,found,866,2253,38.4,30,76,39.5
rich,8,rich/file_proxy.py,structural,found,4796,14306,33.5,150,364,41.2
rich,8,rich/file_proxy.py,frequency,found,1118,1487,75.2,60,78,76.9
rich,8,rich/file_proxy.py,cochange,found,1109,2283,48.6,40,78,51.3
rich,12,rich/text.py,structural,found,13093,14660,89.3,347,370,93.8
rich,12,rich/text.py,frequency,found,18,1487,1.2,2,78,2.6
rich,12,rich/text.py,cochange,found,2138,2285,93.6,74,78,94.9
rich,12,rich/syntax.py,structural,found,12041,14660,82.1,332,370,89.7
rich,12,rich/syntax.py,frequency,found,148,1487,10.0,9,78,11.5
rich,12,rich/syntax.py,cochange,found,2045,2285,89.5,71,78,91.0
rich,12,rich/console.py,structural,found,2244,14660,15.3,102,370,27.6
rich,12,rich/console.py,frequency,found,0,1487,0.0,1,78,1.3
rich,12,rich/console.py,cochange,found,897,2285,39.3,32,78,41.0
rich,12,rich/markdown.py,structural,found,6123,14660,41.8,190,370,51.4
