repo,issue_idx,model,map_condition_raw,rep,n_gt_total,n_gt_touched,frac_gt_touched,n_gt_submitted,frac_gt_submitted,touched_minus_submitted_frac
fastapi,9,deepseek/deepseek-v4-flash,cochange,3,3,2,0.6667,1,0.3333,0.3333
fastapi,9,deepseek/deepseek-v4-flash,freq,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,freq,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,freq,3,3,2,0.6667,1,0.3333,0.3333
fastapi,9,deepseek/deepseek-v4-flash,none,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,none,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,none,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,structural,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,structural,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,structural,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,structural_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,structural_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,structural_required,3,3,2,0.6667,1,0.3333,0.3333
fastapi,9,deepseek/deepseek-v4-flash,temporal_cochange,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_cochange,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_cochange,3,3,2,0.6667,1,0.3333,0.3333
fastapi,9,deepseek/deepseek-v4-flash,temporal_cochange_required,1,3,2,0.6667,1,0.3333,0.3333
fastapi,9,deepseek/deepseek-v4-flash,temporal_cochange_required,2,3,1,0.3333,0,0.0,0.3333
fastapi,9,deepseek/deepseek-v4-flash,temporal_cochange_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_frequency,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_frequency,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_frequency,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_frequency_required,1,3,2,0.6667,1,0.3333,0.3333
fastapi,9,deepseek/deepseek-v4-flash,temporal_frequency_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,deepseek/deepseek-v4-flash,temporal_frequency_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,all_tools_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,ast_compact,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,ast_compact,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,ast_compact,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,cochange,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,cochange,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,cochange,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,freq,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,freq,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,freq,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,none,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,none,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,none,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,structural,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,structural,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,structural,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,structural_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,structural_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,structural_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_cochange,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_cochange,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_cochange,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_cochange_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_cochange_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_cochange_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_frequency,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_frequency,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_frequency,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_frequency_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_frequency_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,temporal_frequency_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,all_tools,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,all_tools,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,all_tools,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,all_tools_required,1,3,2,0.6667,1,0.3333,0.3333
fastapi,9,mistral/ministral-3b-latest,all_tools_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,all_tools_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,ast_compact,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,ast_compact,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,ast_compact,3,3,0,0.0,0,0.0,0.0
fastapi,9,mistral/ministral-3b-latest,cochange,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,cochange,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,cochange,3,3,2,0.6667,1,0.3333,0.3333
fastapi,9,mistral/ministral-3b-latest,freq,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,freq,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,freq,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,none,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,none,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,none,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,structural,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,structural,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,structural,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,structural_required,1,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,structural_required,2,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,structural_required,3,3,1,0.3333,1,0.3333,0.0
fastapi,9,mistral/ministral-3b-latest,temporal_cochange,1,3,1,0.3333,1,0.3333,0.0
