repo,issue_idx,map_condition_raw,pooled_mean_delta_f1,unhelped,issue_weak,ease_of_connection,map_weak_for_gt,conversion_gap,touched_not_kept_rate,n_touched,baseline_f1,ceiling_effect,any_pipeline_flag,fully_explained
pandas,35,freq,0.0,True,True,missing-detail,False,True,1.0,1.0,0.0,False,True,True
keras,9,freq,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
pandas,44,freq,0.0,True,True,misleading,False,True,0.7142857142857143,7.0,0.08333333333333333,False,True,True
scikit-learn,45,ast_compact,0.0,True,False,quoted,True,False,0.0,11.0,0.6667,False,True,True
scrapy,20,ast_compact,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
scikit-learn,49,ast_compact,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
stable-diffusion-webui,13,ast_compact,0.0,True,False,traceback-direct,False,False,0.14285714285714285,7.0,0.6666666666666666,False,False,False
requests,13,ast_compact,0.0,True,False,quoted,False,False,0.08333333333333333,12.0,0.9166666666666666,False,False,False
scikit-learn,5,ast_compact,0.0,True,True,investigation-required,False,False,0.0,12.0,1.0,True,True,True
requests,7,ast_compact,0.0,True,True,investigation-required,False,False,0.0,12.0,1.0,True,True,True
gpt-engineer,11,ast_compact,0.0,True,False,convention,False,True,0.6666666666666666,9.0,0.125,False,True,True
pandas,35,ast_compact,0.0,True,True,missing-detail,False,True,1.0,1.0,0.0,False,True,True
transformers,25,ast_compact,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
core,20,freq,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
yt-dlp,23,ast_compact,0.0,True,False,convention,False,False,0.0,12.0,1.0,True,False,True
flask,6,freq,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
transformers,25,cochange,0.0,True,False,quoted,True,False,0.0,12.0,1.0,True,True,True
rich,1,cochange,0.0,True,False,quoted,True,False,0.0,12.0,1.0,True,True,True
requests,7,cochange,0.0,True,True,investigation-required,True,False,0.0,12.0,1.0,True,True,True
keras,12,cochange,0.0,True,True,missing-detail,False,True,0.7142857142857143,7.0,0.04761666666666667,False,True,True
fastapi,9,cochange,0.0,True,False,traceback-direct,False,False,0.14285714285714285,14.0,0.5,False,False,False
yt-dlp,23,freq,0.0,True,False,convention,False,False,0.0,12.0,1.0,True,False,True
scrapy,26,freq,0.0,True,False,quoted,False,False,0.0,11.0,0.8889,False,False,False
stable-diffusion-webui,0,freq,0.0,True,False,traceback-direct,False,False,0.0,12.0,1.0,True,False,True
transformers,27,freq,0.0,True,False,traceback-direct,True,True,0.4,20.0,0.1538,False,True,True
fastapi,17,cochange,0.0,True,True,misleading,True,True,1.0,8.0,0.0,False,True,True
flask,6,cochange,0.0,True,False,quoted,True,False,0.0,12.0,1.0,True,True,True
scrapy,20,freq,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
thefuck,20,ast_compact,0.0,True,True,misleading,False,True,1.0,7.0,0.0,False,True,True
keras,12,freq,0.0,True,True,missing-detail,True,True,0.6666666666666666,6.0,0.04761666666666667,False,True,True
gpt-engineer,11,cochange,0.0,True,False,convention,True,True,0.5,6.0,0.125,False,True,True
thefuck,20,freq,0.0,True,True,misleading,False,True,1.0,8.0,0.0,False,True,True
fastapi,9,freq,0.0,True,False,traceback-direct,False,False,0.07692307692307693,13.0,0.5,False,False,False
fastapi,17,freq,0.0,True,True,misleading,False,True,1.0,6.0,0.0,False,True,True
rich,1,ast_compact,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
rich,8,ast_compact,0.0,True,True,misleading,False,False,0.08333333333333333,12.0,0.9166666666666666,False,True,True
transformers,25,freq,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
scikit-learn,5,freq,0.0,True,True,investigation-required,False,False,0.0,12.0,1.0,True,True,True
scikit-learn,49,freq,0.0,True,False,quoted,False,False,0.0,12.0,1.0,True,False,True
transformers,27,ast_compact,-0.0018,True,False,traceback-direct,True,True,0.45454545454545453,22.0,0.1538,False,True,True
fastapi,20,cochange,-0.0083,True,False,quoted,True,True,0.7142857142857143,7.0,0.08333333333333333,False,True,True
yt-dlp,45,cochange,-0.0139,True,True,investigation-required,False,True,0.46153846153846156,13.0,0.5000249999999999,False,True,True
thefuck,10,ast_compact,-0.0205,True,True,misleading,False,True,0.7142857142857143,14.0,0.15,False,True,True
yt-dlp,23,cochange,-0.0278,True,False,convention,True,False,0.0,12.0,1.0,True,True,True
pandas,38,ast_compact,-0.0278,True,True,investigation-required,True,False,0.08333333333333333,12.0,0.6250249999999999,False,True,True
requests,13,freq,-0.0278,True,False,quoted,False,False,0.08333333333333333,12.0,0.9166666666666666,False,False,False
gpt-engineer,12,cochange,-0.0333,True,False,traceback-direct,False,False,0.2631578947368421,19.0,0.466675,False,False,False
gpt-engineer,12,ast_compact,-0.0333,True,False,traceback-direct,False,True,0.36363636363636365,22.0,0.466675,False,True,True
gpt-engineer,12,freq,-0.0333,True,False,traceback-direct,True,True,0.3,20.0,0.466675,False,True,True
fastapi,20,freq,-0.0417,True,False,quoted,True,True,0.6666666666666666,3.0,0.08333333333333333,False,True,True
thefuck,10,freq,-0.0417,True,True,misleading,False,True,0.8,15.0,0.15,False,True,True
