repo,issue_idx,map_condition_raw,map_condition,n_models,models,pooled_mean_delta_f1,pooled_mean_delta_recall,delta_f1_std,max_minus_median_delta_f1,outlier_model,outlier_model_delta_f1,median_delta_f1,n_helped_f1,n_hurt_f1,n_neutral_f1,per_model_delta_f1
keras,5,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.3333,0.3333,0.2869,0.3333,mistral/ministral-3b-latest,0.6667,0.3333,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.444; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.222; mistral/ministral-3b-latest=+0.667
keras,5,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.2778,0.3333,0.4108,0.5556,fireworks_ai/accounts/fireworks/models/gpt-oss-120b,0.7778,0.2222,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.444; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.778; mistral/ministral-3b-latest=-0.111
keras,5,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.2222,0.25,0.1571,0.0556,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.3333,0.2778,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.222; mistral/ministral-3b-latest=+0.333
localstack,9,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.4303,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
localstack,9,all_tools_required,all_tools_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1667,0.1667,0.4303,0.5,mistral/ministral-3b-latest,0.6667,0.1667,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.333; deepseek/deepseek-v4-flash=-0.333; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
gpt-engineer,11,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1389,0.1667,0.2778,0.5556,mistral/ministral-3b-latest,0.5556,0.0,1,0,3,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.556
yt-dlp,41,temporal_cochange_required,temporal_cochange_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1361,0.25,0.205,0.3778,deepseek/deepseek-v4-flash,0.4333,0.0556,2,0,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.433; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.111; mistral/ministral-3b-latest=+0.000
transformers,5,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1329,0.1,0.1221,0.1091,deepseek/deepseek-v4-flash,0.25,0.1409,3,0,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=+0.250; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.060; mistral/ministral-3b-latest=+0.222
fastapi,20,temporal_frequency_required,temporal_frequency_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.125,0.0833,0.3696,0.6667,mistral/ministral-3b-latest,0.6667,0.0,1,1,2,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.000; deepseek/deepseek-v4-flash=-0.167; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.000; mistral/ministral-3b-latest=+0.667
pandas,26,structural_required,structural_required,4,"deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B, deepseek/deepseek-v4-flash, fireworks_ai/accounts/fireworks/models/gpt-oss-120b, mistral/ministral-3b-latest",0.1222,0.125,0.2962,0.5334,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B,0.5556,0.0222,2,1,1,deepinfra/nvidia/NVIDIA-Nemotron-3-Super-120B-A12B=+0.556; deepseek/deepseek-v4-flash=+0.000; fireworks_ai/accounts/fireworks/models/gpt-oss-120b=+0.044; mistral/ministral-3b-latest=-0.111
