sklearn/neighbors/regression.py  [42 edits, last: 2014-08-25]
sklearn/preprocessing/__init__.py  [42 edits, last: 2014-07-22]
sklearn/metrics/scorer.py  [40 edits, last: 2014-12-09]
sklearn/feature_selection/tests/test_feature_select.py  [39 edits, last: 2014-10-08]
sklearn/linear_model/__init__.py  [38 edits, last: 2014-09-24]
sklearn/utils/setup.py  [38 edits, last: 2014-07-14]
sklearn/manifold/tests/test_spectral_embedding.py  [37 edits, last: 2014-04-04]
sklearn/cluster/dbscan_.py  [36 edits, last: 2014-12-25]
sklearn/tests/test_dummy.py  [36 edits, last: 2014-10-16]
sklearn/manifold/t_sne.py  [35 edits, last: 2014-10-21]
sklearn/preprocessing/data.py  [35 edits, last: 2014-10-25]
sklearn/tests/test_hmm.py  [35 edits, last: 2013-10-15]
sklearn/neural_network/tests/test_rbm.py  [34 edits, last: 2014-06-08]
sklearn/cluster/mean_shift_.py  [33 edits, last: 2014-07-28]
sklearn/feature_extraction/image.py  [33 edits, last: 2014-11-21]
sklearn/metrics/tests/test_score_objects.py  [33 edits, last: 2014-12-09]
sklearn/datasets/__init__.py  [32 edits, last: 2013-07-27]
sklearn/datasets/twenty_newsgroups.py  [32 edits, last: 2014-08-31]
sklearn/utils/tests/test_sparsefuncs.py  [32 edits, last: 2014-10-21]
sklearn/cluster/birch.py  [31 edits, last: 2014-12-09]
sklearn/covariance/shrunk_covariance_.py  [31 edits, last: 2014-07-28]
sklearn/ensemble/base.py  [31 edits, last: 2014-07-28]
sklearn/manifold/tests/test_locally_linear.py  [31 edits, last: 2014-05-24]
sklearn/setup.py  [30 edits, last: 2014-09-04]
sklearn/ensemble/partial_dependence.py  [30 edits, last: 2014-07-20]
sklearn/linear_model/tests/test_ransac.py  [30 edits, last: 2014-05-24]
sklearn/mixture/tests/test_gmm.py  [30 edits, last: 2014-05-15]
sklearn/neighbors/approximate.py  [30 edits, last: 2014-12-25]
sklearn/tests/test_pipeline.py  [30 edits, last: 2014-10-07]
sklearn/utils/sparsefuncs.py  [30 edits, last: 2014-10-21]
sklearn/covariance/outlier_detection.py  [29 edits, last: 2014-07-28]
sklearn/covariance/tests/test_covariance.py  [29 edits, last: 2013-11-29]
sklearn/datasets/tests/test_samples_generator.py  [29 edits, last: 2014-08-25]
sklearn/feature_extraction/dict_vectorizer.py  [29 edits, last: 2014-09-23]
sklearn/linear_model/tests/test_sparse_coordinate_descent.py  [29 edits, last: 2014-07-18]
sklearn/metrics/cluster/tests/test_supervised.py  [29 edits, last: 2014-07-18]
sklearn/semi_supervised/label_propagation.py  [29 edits, last: 2014-07-28]
sklearn/utils/tests/test_validation.py  [28 edits, last: 2014-12-31]
sklearn/learning_curve.py  [27 edits, last: 2014-07-25]
sklearn/ensemble/__init__.py  [27 edits, last: 2013-09-11]
sklearn/linear_model/tests/test_omp.py  [27 edits, last: 2014-11-25]
sklearn/utils/tests/test_utils.py  [27 edits, last: 2014-09-25]
sklearn/decomposition/tests/test_dict_learning.py  [26 edits, last: 2014-07-22]
sklearn/externals/joblib/__init__.py  [26 edits, last: 2014-11-24]
sklearn/feature_selection/tests/test_rfe.py  [26 edits, last: 2014-12-15]
sklearn/manifold/isomap.py  [26 edits, last: 2014-10-19]
sklearn/neighbors/nearest_centroid.py  [26 edits, last: 2014-10-21]
sklearn/preprocessing/imputation.py  [26 edits, last: 2014-10-21]
sklearn/tests/test_isotonic.py  [26 edits, last: 2014-12-23]
sklearn/decomposition/kernel_pca.py  [25 edits, last: 2014-12-01]
sklearn/decomposition/tests/test_factor_analysis.py  [25 edits, last: 2014-12-29]
sklearn/utils/tests/test_multiclass.py  [25 edits, last: 2014-08-09]
sklearn/decomposition/__init__.py  [24 edits, last: 2014-09-22]
sklearn/tests/test_lda.py  [24 edits, last: 2014-12-16]
sklearn/decomposition/tests/test_kernel_pca.py  [23 edits, last: 2013-04-02]
sklearn/ensemble/bagging.py  [23 edits, last: 2014-09-28]
sklearn/externals/joblib/parallel.py  [23 edits, last: 2014-12-04]
sklearn/feature_selection/__init__.py  [23 edits, last: 2014-02-03]
sklearn/utils/estimator_checks.py  [23 edits, last: 2014-12-29]
sklearn/decomposition/sparse_pca.py  [22 edits, last: 2014-07-28]
sklearn/linear_model/bayes.py  [22 edits, last: 2014-07-28]
sklearn/cluster/__init__.py  [21 edits, last: 2014-12-05]
sklearn/covariance/__init__.py  [21 edits, last: 2013-12-10]
sklearn/neighbors/unsupervised.py  [21 edits, last: 2014-08-25]
sklearn/preprocessing/tests/test_data.py  [21 edits, last: 2014-10-24]
sklearn/decomposition/tests/test_nmf.py  [20 edits, last: 2013-10-20]
sklearn/externals/joblib/memory.py  [20 edits, last: 2014-06-04]
sklearn/externals/joblib/numpy_pickle.py  [20 edits, last: 2014-11-24]
sklearn/linear_model/tests/test_base.py  [20 edits, last: 2014-11-14]
sklearn/metrics/cluster/unsupervised.py  [20 edits, last: 2014-12-17]
sklearn/neighbors/tests/test_approximate.py  [20 edits, last: 2014-12-29]
sklearn/neighbors/tests/test_ball_tree.py  [20 edits, last: 2014-02-02]
sklearn/preprocessing/tests/test_label.py  [20 edits, last: 2014-07-29]
sklearn/covariance/tests/test_graph_lasso.py  [19 edits, last: 2014-07-22]
sklearn/datasets/mldata.py  [19 edits, last: 2014-03-09]
sklearn/feature_extraction/tests/test_image.py  [19 edits, last: 2014-11-21]
sklearn/linear_model/passive_aggressive.py  [19 edits, last: 2014-11-30]
sklearn/linear_model/tests/test_theil_sen.py  [19 edits, last: 2014-10-17]
sklearn/tests/test_kernel_approximation.py  [19 edits, last: 2014-09-22]
sklearn/cluster/setup.py  [18 edits, last: 2013-09-22]
sklearn/cross_decomposition/pls_.py  [18 edits, last: 2014-11-30]
sklearn/decomposition/truncated_svd.py  [18 edits, last: 2014-09-03]
sklearn/linear_model/perceptron.py  [18 edits, last: 2014-11-30]
sklearn/manifold/tests/test_t_sne.py  [18 edits, last: 2014-10-21]
sklearn/metrics/cluster/__init__.py  [18 edits, last: 2014-07-19]
sklearn/cluster/tests/test_affinity_propagation.py  [17 edits, last: 2014-07-22]
sklearn/cluster/_feature_agglomeration.py  [16 edits, last: 2014-07-20]
sklearn/cluster/tests/test_birch.py  [16 edits, last: 2014-12-09]
sklearn/datasets/lfw.py  [16 edits, last: 2014-07-13]
sklearn/decomposition/tests/test_sparse_pca.py  [16 edits, last: 2014-03-21]
sklearn/ensemble/tests/test_base.py  [16 edits, last: 2014-07-18]
sklearn/externals/joblib/func_inspect.py  [16 edits, last: 2014-05-28]
sklearn/neighbors/__init__.py  [16 edits, last: 2014-12-18]
sklearn/utils/arpack.py  [16 edits, last: 2013-08-26]
sklearn/utils/graph.py  [16 edits, last: 2013-07-22]
sklearn/datasets/species_distributions.py  [15 edits, last: 2014-07-13]
sklearn/datasets/tests/test_base.py  [15 edits, last: 2014-02-17]
sklearn/datasets/tests/test_lfw.py  [15 edits, last: 2013-10-20]
sklearn/manifold/spectral_embedding_.py  [15 edits, last: 2014-12-29]
sklearn/metrics/ranking.py  [15 edits, last: 2014-12-22]
sklearn/tests/test_base.py  [15 edits, last: 2014-04-21]
sklearn/tree/export.py  [15 edits, last: 2014-11-06]
sklearn/utils/random.py  [15 edits, last: 2014-08-09]
sklearn/externals/joblib/hashing.py  [14 edits, last: 2013-12-29]
sklearn/neighbors/kde.py  [14 edits, last: 2014-11-05]
