issue,model,condition,baseline,n_condition,n_baseline,median_condition,median_baseline,mannwhitney_u,p_mwu_exact,p_mwu_asymptotic_auto,p_permutation,p_holm
gpt-engineer/9,ministral-3b,temporal_frequency_required,none,15,15,1.0,1.0,120.0,0.7748403017273614,0.35064788970445904,0.9834,1.0
gpt-engineer/9,ministral-3b,temporal_cochange_required,none,15,15,1.0,1.0,91.0,0.3892332987273133,0.17917611056926708,0.396,1.0
gpt-engineer/9,ministral-3b,all_tools_required,none,15,15,1.0,1.0,105.5,0.80633377841523,0.6045054371054783,1.0,1.0
keras/5,nemotron-super,freq,none,15,15,1.0,0.0,174.0,0.009874822650594207,0.004958323113591103,0.0066,0.02962446795178262
keras/5,nemotron-super,temporal_frequency,none,15,15,0.0,0.0,115.0,0.9348872003626669,0.9197167475905694,0.9954,0.9348872003626669
keras/5,nemotron-super,all_tools_required,none,15,15,1.0,0.0,166.0,0.02635404434005907,0.015005419041200648,0.0166,0.05270808868011814
keras/5,deepseek-flash,freq,none,15,15,0.0,0.6667,66.5,0.06127924170009938,0.041163933271828684,0.034,0.18383772510029814
keras/5,deepseek-flash,temporal_frequency,none,15,15,0.0,0.6667,79.0,0.17360889988442313,0.14165036460350416,0.159,0.34721779976884626
keras/5,deepseek-flash,all_tools_required,none,15,15,0.5,0.6667,99.0,0.5948839305837278,0.5735640051934185,0.6628,0.5948839305837278
keras/5,gpt-oss-120b,freq,none,15,15,0.0,0.0,103.5,0.7437020653759808,0.5861416689226575,0.5928,1.0
keras/5,gpt-oss-120b,temporal_frequency,none,15,15,0.0,0.0,111.0,0.9674172975431788,0.9524515354386665,1.0,1.0
keras/5,gpt-oss-120b,all_tools_required,none,15,15,0.0,0.0,123.0,0.6826738075750567,0.5925240248315591,0.6732,1.0
keras/5,ministral-3b,freq,none,15,15,1.0,1.0,125.5,0.6235942787120372,0.45698619805480434,0.788,1.0
keras/5,ministral-3b,temporal_frequency,none,15,15,1.0,1.0,142.5,0.2328119093188184,0.038290985416298315,0.0982,0.6984357279564553
keras/5,ministral-3b,all_tools_required,none,15,15,1.0,1.0,104.0,0.7437020653759808,0.680816664665548,0.771,1.0
localstack/2,deepseek-flash,ast_compact,none,15,15,0.6667,1.0,91.5,0.41237577805524483,0.3400227715787051,0.6458,1.0
localstack/2,deepseek-flash,cochange,none,15,15,1.0,1.0,136.5,0.34531089718298746,0.22259821076776187,0.3012,1.0
localstack/2,deepseek-flash,freq,none,15,15,1.0,1.0,109.5,0.9348872003626669,0.9051212633129582,0.8054,1.0
localstack/2,deepseek-flash,structural,none,15,15,1.0,1.0,133.5,0.41237577805524483,0.28960858005889256,0.6434,1.0
localstack/2,deepseek-flash,temporal_cochange,none,15,15,0.6667,1.0,78.5,0.17360889988442313,0.1278812554088305,0.2058,1.0
localstack/2,deepseek-flash,temporal_frequency,none,15,15,1.0,1.0,137.5,0.3245481748289942,0.18979160269193307,0.8856,1.0
localstack/2,deepseek-flash,all_tools,none,15,15,1.0,1.0,116.5,0.9024622750544232,0.8647858689465691,0.9096,1.0
localstack/2,deepseek-flash,structural_required,none,15,15,1.0,1.0,133.5,0.41237577805524483,0.28960858005889256,0.656,1.0
localstack/2,deepseek-flash,temporal_cochange_required,none,15,15,1.0,1.0,102.5,0.712965124764759,0.6556576598060649,0.692,1.0
localstack/2,deepseek-flash,temporal_frequency_required,none,15,15,1.0,1.0,119.5,0.80633377841523,0.7505962240057632,0.9812,1.0
localstack/2,deepseek-flash,all_tools_required,none,15,15,1.0,1.0,116.5,0.9024622750544232,0.8647858689465691,0.927,1.0
localstack/19,nemotron-super,ast_compact,none,15,15,0.0,0.0,120.0,0.7748403017273614,0.35064788970445904,1.0,1.0
localstack/19,nemotron-super,temporal_frequency,none,15,15,0.0,0.0,112.5,1.0,1.0,1.0,1.0
localstack/19,nemotron-super,all_tools_required,none,15,15,0.0,0.0,120.0,0.7748403017273614,0.35064788970445904,0.9878,1.0
localstack/19,deepseek-flash,ast_compact,none,15,15,0.2,0.0,210.0,8.819119851838785e-06,8.361122972067938e-06,0.0002,2.6457359555516356e-05
localstack/19,deepseek-flash,temporal_frequency,none,15,15,0.0,0.0,142.5,0.2328119093188184,0.03835264194617565,0.1036,0.4656238186376368
localstack/19,deepseek-flash,all_tools_required,none,15,15,0.0,0.0,135.0,0.36687519243474237,0.07972519553742538,0.224,0.4656238186376368
localstack/19,gpt-oss-120b,ast_compact,none,15,15,0.0,0.0,112.5,1.0,1.0,1.0,1.0
localstack/19,gpt-oss-120b,temporal_frequency,none,15,15,0.0,0.0,112.5,1.0,1.0,1.0,1.0
localstack/19,gpt-oss-120b,all_tools_required,none,15,15,0.0,0.0,112.5,1.0,1.0,1.0,1.0
localstack/19,ministral-3b,ast_compact,none,15,15,0.25,0.0,182.5,0.003155375356697296,0.0016057995282804402,0.001,0.009466126070091889
localstack/19,ministral-3b,temporal_frequency,none,15,15,0.2222,0.0,160.0,0.0502223733334571,0.029875592998061983,0.0342,0.0502223733334571
localstack/19,ministral-3b,all_tools_required,none,15,15,0.25,0.0,182.5,0.003155375356697296,0.0019015599296973288,0.001,0.009466126070091889
requests/12,deepseek-flash,ast_compact,none,15,15,0.5,0.5,126.0,0.5948839305837278,0.5387051686528601,0.5664,1.0
requests/12,deepseek-flash,cochange,none,15,15,0.5,0.5,114.0,0.9674172975431788,0.9611959058564674,0.8178,1.0
requests/12,deepseek-flash,freq,none,15,15,0.5,0.5,97.5,0.5667744945896506,0.4616142250895121,0.7152,1.0
scikit-learn/45,ministral-3b,freq,none,15,15,0.6667,0.6667,60.0,0.029496474672880277,0.003254906557422445,0.0066,0.029496474672880277
