issue,model,condition,baseline,n_condition,n_baseline,condition_explored,baseline_explored,condition_rate,baseline_rate,odds_ratio,p_raw,p_holm
localstack/2,deepseek-flash,structural,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,temporal_cochange,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,temporal_frequency,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,all_tools,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,structural_required,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,temporal_cochange_required,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,temporal_frequency_required,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/2,deepseek-flash,all_tools_required,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,nemotron-super,ast_compact,none,15,15,7,7,0.467,0.467,1.0,1.0,1.0
localstack/19,nemotron-super,temporal_frequency,none,15,15,12,7,0.8,0.467,4.5714,0.12813593203398302,0.25627186406796604
localstack/19,nemotron-super,all_tools_required,none,15,15,14,7,0.933,0.467,16.0,0.014192903548225888,0.042578710644677664
localstack/19,deepseek-flash,ast_compact,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,deepseek-flash,temporal_frequency,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,deepseek-flash,all_tools_required,none,15,15,15,15,1.0,1.0,,1.0,1.0
localstack/19,gpt-oss-120b,ast_compact,none,15,15,3,1,0.2,0.067,3.5,0.5977011494252875,1.0
localstack/19,gpt-oss-120b,temporal_frequency,none,15,15,2,1,0.133,0.067,2.1538,1.0,1.0
localstack/19,gpt-oss-120b,all_tools_required,none,15,15,15,1,1.0,0.067,inf,2.062952012126032e-07,6.188856036378096e-07
localstack/19,ministral-3b,ast_compact,none,15,15,13,12,0.867,0.8,1.625,1.0,1.0
localstack/19,ministral-3b,temporal_frequency,none,15,15,11,12,0.733,0.8,0.6875,1.0,1.0
localstack/19,ministral-3b,all_tools_required,none,15,15,14,12,0.933,0.8,3.5,0.5977011494252873,1.0
requests/12,deepseek-flash,ast_compact,none,15,15,15,15,1.0,1.0,,1.0,1.0
requests/12,deepseek-flash,cochange,none,15,15,15,15,1.0,1.0,,1.0,1.0
requests/12,deepseek-flash,freq,none,15,15,15,15,1.0,1.0,,1.0,1.0
scikit-learn/45,ministral-3b,freq,none,15,15,6,14,0.4,0.933,0.0476,0.005197401299350325,0.005197401299350325
