comparison,n,n_nonzero_diff,median_diff,wilcoxon_stat,p_raw,effect_size_r,p_holm
structural_vs_baseline,204,56,0.0,707.0,0.4546108514254117,0.11403508771929824,0.4546108514254117
temporal_frequency_vs_baseline,204,64,0.0,635.5,0.006652037748573085,0.3889423076923077,0.02660815099429234
temporal_cochange_vs_baseline,204,46,0.0,410.0,0.15197326685590629,0.2414431082331175,0.30394653371181257
all_tools_vs_baseline,204,66,0.0,840.0,0.08754363079609227,0.24016282225237448,0.2626308923882768
