comparison,n,n_discordant_pairs,ref_fail_cond_succeed,ref_succeed_cond_fail,statistic,p_raw,p_holm
structural_vs_baseline,540,50,28,22,0.5,0.47950012218695337,1.0
temporal_frequency_vs_baseline,540,50,30,20,1.62,0.20309178757716426,0.812367150308657
temporal_cochange_vs_baseline,540,49,24,25,0.0,1.0,1.0
all_tools_vs_baseline,540,54,25,29,0.167,0.6830913983096086,1.0
